"id_difficulte";"id_etudiant";"maitrise_metier_etudiant";"difficulte_adaptation_methodes";"difficulte_taille_groupes";"interet_lecture_ecriture";"frequence_etude_lecons";"attente_veille_examens";"participation_examens_semestriels";"passé_scolaire_difficile";"decrochage_anterieur_sec_prim";"difficultes_pedagogiques_specifiques"
"34";"34";"Bonne";"Aucune";"0";"Élevé";"Intensivement";"0";"Tous";"0";"0";"Aucune"
"35";"35";"Moyenne";"Modérée";"0";"Moyen";"Intensivement";"1";"Tous";"0";"0";"Aucune"
"36";"36";"Bonne";"Modérée";"0";"Élevé";"Parfois";"1";"La plupart";"0";"0";"Gestion du stress"
"37";"37";"Très bonne";"Légère";"0";"Moyen";"Intensivement";"0";"Tous";"0";"0";"Gestion du stress"
"38";"38";"Mauvaise";"Aucune";"0";"Faible";"Régulièrement";"0";"Tous";"0";"0";"Mémorisation"
"39";"39";"Moyenne";"Légère";"1";"Élevé";"Intensivement";"0";"Tous";"0";"0";"Compréhension des cours"
"40";"40";"Moyenne";"Légère";"0";"Élevé";"Parfois";"1";"Tous";"1";"0";"Aucune"
"41";"41";"Bonne";"Aucune";"0";"Élevé";"Régulièrement";"0";"Tous";"0";"0";"Organisation du travail"
"42";"42";"Bonne";"Modérée";"1";"Élevé";"Parfois";"1";"Tous";"1";"0";"Aucune"
"43";"43";"Moyenne";"Aucune";"0";"Moyen";"Régulièrement";"0";"La plupart";"0";"0";"Organisation du travail"
"44";"44";"Très bonne";"Aucune";"0";"Élevé";"Parfois";"0";"Tous";"0";"0";"Expression écrite"
"45";"45";"Moyenne";"Modérée";"1";"Élevé";"Parfois";"1";"Tous";"0";"0";"Organisation du travail"
"46";"46";"Bonne";"Modérée";"1";"Faible";"Jamais";"1";"Tous";"0";"0";"Mémorisation"
"47";"47";"Mauvaise";"Légère";"0";"Moyen";"Régulièrement";"0";"Tous";"0";"0";"Mémorisation"
"48";"48";"Bonne";"Sévère";"1";"Moyen";"Parfois";"1";"Tous";"0";"0";"Aucune"
"49";"49";"Très bonne";"Légère";"0";"Élevé";"Parfois";"1";"Tous";"0";"0";"Gestion du stress"
