id_classe,code_classe,id_filiere,niveau_annee,annee_scolaire,effectif_inscrit,salle
71,005-L1-2022,5,L1,2022-23,85,Bloc A-04
72,005-L2-2022,5,L2,2022-23,44,Bloc A-06
73,005-L3-2022,5,L3,2022-23,44,Bloc B-05
74,006-L1-2022,6,L1,2022-23,82,Bloc D-04
75,006-L2-2022,6,L2,2022-23,74,Bloc B-10
76,006-L3-2022,6,L3,2022-23,76,Bloc D-04
77,007-G1-2022,7,G1,2022-23,90,Bloc D-07
78,007-G2-2022,7,G2,2022-23,52,Bloc A-02
79,007-G3-2022,7,G3,2022-23,82,Bloc D-06
80,007-G4-2022,7,G4,2022-23,67,Bloc D-08
81,007-G5-2022,7,G5,2022-23,95,Bloc A-02
82,008-M1-2022,8,M1,2022-23,43,Bloc D-06
83,008-M2-2022,8,M2,2022-23,91,Bloc A-04
84,009-M1-2022,9,M1,2022-23,52,Bloc B-09
85,009-M2-2022,9,M2,2022-23,68,Bloc B-07
86,010-BTS1-2022,10,BTS1,2022-23,51,Bloc C-08
87,010-BTS2-2022,10,BTS2,2022-23,55,Bloc A-08
88,001-L1-2023,1,L1,2023-24,91,Bloc A-01
89,001-L2-2023,1,L2,2023-24,81,Bloc A-02
90,001-L3-2023,1,L3,2023-24,99,Bloc B-03
91,002-L1-2023,2,L1,2023-24,66,Bloc D-08
92,002-L2-2023,2,L2,2023-24,53,Bloc D-01
93,002-L3-2023,2,L3,2023-24,50,Bloc D-01
94,003-L1-2023,3,L1,2023-24,64,Bloc C-08
95,003-L2-2023,3,L2,2023-24,58,Bloc D-09
96,003-L3-2023,3,L3,2023-24,82,Bloc D-03
97,004-L1-2023,4,L1,2023-24,52,Bloc C-04
98,004-L2-2023,4,L2,2023-24,43,Bloc A-06
99,004-L3-2023,4,L3,2023-24,43,Bloc A-10
100,005-L1-2023,5,L1,2023-24,70,Bloc B-01
101,005-L2-2023,5,L2,2023-24,72,Bloc A-03
102,005-L3-2023,5,L3,2023-24,44,Bloc A-04
103,006-L1-2023,6,L1,2023-24,65,Bloc A-10
104,006-L2-2023,6,L2,2023-24,55,Bloc A-10
105,006-L3-2023,6,L3,2023-24,45,Bloc D-10
106,007-G1-2023,7,G1,2023-24,76,Bloc C-05
107,007-G2-2023,7,G2,2023-24,53,Bloc C-04
108,007-G3-2023,7,G3,2023-24,56,Bloc D-03
109,007-G4-2023,7,G4,2023-24,82,Bloc C-08
110,007-G5-2023,7,G5,2023-24,60,Bloc A-01
111,008-M1-2023,8,M1,2023-24,69,Bloc A-02
112,008-M2-2023,8,M2,2023-24,74,Bloc B-09
113,009-M1-2023,9,M1,2023-24,56,Bloc B-06
114,009-M2-2023,9,M2,2023-24,96,Bloc A-04
115,010-BTS1-2023,10,BTS1,2023-24,63,Bloc C-03
116,010-BTS2-2023,10,BTS2,2023-24,68,Bloc C-10
