id_integration,id_etudiant,qualite_relation_camarades,niveau_integration_sociale,isolement_social,victime_harcelement,type_harcelement,pair_ayant_decroche_avant,qualite_relation_enseignants,beneficie_soutien_camarades,beneficie_soutien_enseignants,participation_activites_campus
118,118,Neutre,Élevé,0,0,Aucun,0,Très mauvaise,0,0,Souvent
119,119,Neutre,Élevé,0,0,Aucun,0,Très bonne,1,1,Parfois
120,120,Bonne,Très élevé,0,0,Aucun,1,Très bonne,0,1,Rarement
121,121,Mauvaise,Élevé,0,0,Aucun,0,Neutre,1,0,Souvent
122,122,Très mauvaise,Très faible,0,0,Moral,0,Neutre,1,0,Jamais
123,123,Bonne,Faible,0,0,Aucun,1,Mauvaise,1,1,Jamais
124,124,Neutre,Faible,0,0,Aucun,0,Mauvaise,1,0,Souvent
125,125,Neutre,Moyen,0,0,Aucun,0,Bonne,0,1,Souvent
126,126,Bonne,Élevé,0,0,Aucun,0,Bonne,0,0,Parfois
127,127,Bonne,Moyen,0,0,Aucun,0,Très bonne,0,0,Parfois
128,128,Très bonne,Très élevé,0,0,Aucun,0,Bonne,1,1,Jamais
129,129,Bonne,Faible,0,0,Aucun,0,Très bonne,1,1,Rarement
130,130,Bonne,Élevé,0,0,Aucun,1,Neutre,1,1,Rarement
131,131,Neutre,Élevé,0,0,Aucun,0,Bonne,0,0,Rarement
132,132,Bonne,Élevé,0,0,Aucun,1,Très mauvaise,1,0,Souvent
133,133,Bonne,Élevé,0,0,Aucun,0,Bonne,0,0,Jamais
134,134,Bonne,Faible,0,0,Aucun,0,Très bonne,1,0,Jamais
135,135,Bonne,Élevé,0,0,Aucun,1,Neutre,1,1,Jamais
136,136,Très bonne,Élevé,0,0,Aucun,0,Neutre,1,1,Rarement
137,137,Très bonne,Moyen,0,0,Aucun,0,Bonne,0,0,Parfois
138,138,Très bonne,Moyen,0,1,Aucun,0,Très bonne,0,0,Souvent
139,139,Mauvaise,Moyen,0,0,Aucun,0,Neutre,1,1,Parfois
140,140,Mauvaise,Faible,0,0,Aucun,0,Neutre,1,0,Souvent
141,141,Neutre,Moyen,0,0,Aucun,1,Bonne,1,0,Rarement
142,142,Bonne,Moyen,0,0,Aucun,0,Très bonne,0,0,Jamais
143,143,Neutre,Faible,0,1,Aucun,1,Très bonne,1,1,Parfois
144,144,Neutre,Moyen,0,0,Aucun,0,Très bonne,0,1,Jamais
145,145,Très mauvaise,Faible,0,0,Aucun,0,Mauvaise,1,1,Souvent
146,146,Bonne,Très faible,0,0,Moral,0,Neutre,1,0,Rarement
147,147,Bonne,Très élevé,0,0,Aucun,0,Très bonne,0,0,Rarement
148,148,Bonne,Très élevé,0,0,Aucun,1,Neutre,1,1,Souvent
149,149,Très bonne,Moyen,0,0,Aucun,1,Très mauvaise,0,0,Rarement
150,150,Bonne,Moyen,0,0,Aucun,0,Très bonne,1,1,Rarement
151,151,Neutre,Très élevé,0,0,Aucun,1,Neutre,1,0,Souvent
152,152,Très bonne,Moyen,0,0,Aucun,0,Bonne,1,0,Souvent
153,153,Neutre,Très élevé,0,0,Aucun,1,Très bonne,1,0,Rarement
154,154,Bonne,Faible,0,0,Aucun,1,Bonne,0,1,Souvent
155,155,Très bonne,Très faible,0,0,Aucun,1,Neutre,0,1,Parfois
156,156,Mauvaise,Faible,0,0,Aucun,0,Bonne,0,0,Rarement
157,157,Très bonne,Très élevé,0,0,Aucun,0,Neutre,0,1,Parfois
158,158,Bonne,Élevé,1,0,Aucun,0,Neutre,1,0,Rarement
159,159,Bonne,Élevé,0,0,Aucun,0,Très bonne,0,0,Jamais
160,160,Neutre,Moyen,0,0,Aucun,1,Bonne,1,0,Parfois
161,161,Très bonne,Faible,0,0,Aucun,1,Bonne,1,0,Rarement
162,162,Neutre,Élevé,0,0,Moral,0,Bonne,1,0,Jamais
163,163,Neutre,Faible,0,0,Verbal,1,Neutre,1,1,Parfois
164,164,Neutre,Faible,0,0,Aucun,0,Bonne,1,0,Rarement
165,165,Neutre,Moyen,0,0,Aucun,0,Bonne,0,0,Souvent
166,166,Mauvaise,Faible,1,0,Aucun,0,Neutre,0,1,Rarement
167,167,Bonne,Moyen,0,0,Aucun,0,Très bonne,1,0,Parfois
168,168,Très bonne,Faible,0,0,Aucun,0,Bonne,1,0,Parfois
169,169,Bonne,Élevé,0,0,Aucun,1,Bonne,1,1,Jamais
170,170,Mauvaise,Moyen,0,0,Aucun,0,Bonne,1,1,Souvent
171,171,Bonne,Moyen,1,0,Aucun,0,Très bonne,1,0,Rarement
172,172,Très bonne,Élevé,0,0,Aucun,0,Bonne,1,0,Jamais
173,173,Neutre,Très élevé,0,0,Aucun,0,Neutre,1,1,Jamais
174,174,Neutre,Faible,0,0,Aucun,0,Bonne,0,0,Parfois
175,175,Bonne,Très élevé,0,0,Aucun,0,Bonne,0,1,Jamais
176,176,Bonne,Élevé,0,0,Aucun,0,Neutre,0,1,Parfois
177,177,Mauvaise,Très élevé,0,0,Aucun,1,Mauvaise,0,0,Parfois
178,178,Bonne,Très faible,0,0,Aucun,0,Bonne,1,0,Souvent
179,179,Bonne,Faible,0,0,Aucun,1,Très bonne,0,0,Rarement
180,180,Très bonne,Élevé,1,0,Aucun,1,Mauvaise,1,0,Jamais
181,181,Neutre,Faible,0,0,Moral,0,Très bonne,1,0,Rarement
182,182,Neutre,Moyen,0,0,Aucun,0,Très bonne,1,0,Rarement
183,183,Neutre,Très élevé,0,0,Aucun,1,Mauvaise,0,1,Jamais
184,184,Neutre,Moyen,1,0,Aucun,0,Bonne,1,1,Rarement
185,185,Neutre,Très faible,0,0,Aucun,1,Bonne,0,1,Rarement
186,186,Très bonne,Élevé,1,0,Aucun,0,Bonne,0,0,Rarement
187,187,Mauvaise,Très élevé,0,0,Aucun,0,Neutre,0,1,Rarement
188,188,Très bonne,Faible,1,0,Aucun,1,Neutre,1,1,Jamais
189,189,Bonne,Moyen,1,0,Aucun,0,Bonne,0,0,Rarement
190,190,Neutre,Très élevé,0,0,Aucun,0,Bonne,0,0,Rarement
191,191,Bonne,Faible,0,0,Aucun,1,Bonne,0,0,Jamais
192,192,Mauvaise,Moyen,0,0,Aucun,1,Bonne,0,1,Rarement
193,193,Mauvaise,Faible,0,0,Aucun,0,Neutre,0,0,Jamais
194,194,Bonne,Faible,0,0,Aucun,0,Neutre,0,0,Rarement
195,195,Bonne,Faible,1,0,Cyberharcèlement,1,Mauvaise,1,1,Rarement
196,196,Très bonne,Très élevé,0,0,Aucun,0,Mauvaise,0,1,Jamais
197,197,Neutre,Moyen,0,0,Aucun,0,Bonne,0,0,Parfois
198,198,Neutre,Élevé,0,0,Aucun,1,Mauvaise,1,0,Parfois
199,199,Neutre,Très élevé,1,0,Aucun,0,Très bonne,0,1,Souvent
200,200,Très bonne,Moyen,0,0,Aucun,0,Bonne,1,1,Rarement
201,201,Bonne,Faible,0,0,Aucun,1,Neutre,0,0,Souvent
202,202,Bonne,Faible,0,0,Aucun,1,Bonne,1,1,Jamais
203,203,Très mauvaise,Moyen,0,0,Aucun,1,Très bonne,1,1,Rarement
204,204,Bonne,Très élevé,0,0,Moral,1,Neutre,1,1,Parfois
205,205,Bonne,Faible,1,0,Aucun,1,Bonne,0,0,Souvent
206,206,Très bonne,Faible,0,0,Aucun,0,Neutre,1,1,Parfois
207,207,Neutre,Faible,0,0,Aucun,0,Neutre,0,1,Rarement
208,208,Neutre,Élevé,0,1,Aucun,1,Bonne,0,1,Jamais
209,209,Très mauvaise,Moyen,0,0,Verbal,0,Neutre,1,0,Souvent
210,210,Bonne,Élevé,0,0,Aucun,1,Neutre,1,1,Souvent
211,211,Neutre,Moyen,0,0,Verbal,0,Très bonne,1,1,Parfois
212,212,Bonne,Élevé,0,0,Aucun,1,Neutre,0,0,Souvent
213,213,Neutre,Très faible,0,0,Moral,1,Mauvaise,0,0,Parfois
214,214,Bonne,Très élevé,0,0,Aucun,0,Mauvaise,1,0,Parfois
215,215,Bonne,Moyen,0,0,Aucun,1,Bonne,1,0,Souvent
216,216,Très mauvaise,Moyen,1,0,Aucun,0,Bonne,1,0,Jamais
217,217,Bonne,Faible,0,0,Aucun,0,Neutre,1,0,Rarement
218,218,Bonne,Moyen,1,0,Aucun,0,Très bonne,0,0,Souvent
219,219,Très bonne,Élevé,0,0,Aucun,0,Neutre,1,1,Parfois
220,220,Très bonne,Moyen,0,0,Verbal,1,Bonne,0,1,Parfois
221,221,Neutre,Élevé,0,0,Aucun,0,Très bonne,1,1,Rarement
222,222,Bonne,Élevé,0,1,Aucun,0,Très bonne,1,0,Jamais
223,223,Bonne,Élevé,0,0,Aucun,0,Très mauvaise,1,1,Parfois
224,224,Bonne,Faible,0,0,Aucun,0,Bonne,0,1,Rarement
225,225,Bonne,Élevé,1,0,Aucun,1,Très bonne,1,1,Parfois
226,226,Bonne,Très faible,0,0,Aucun,1,Neutre,1,1,Rarement
227,227,Très bonne,Élevé,0,0,Aucun,1,Très bonne,1,0,Souvent
228,228,Bonne,Très faible,0,0,Aucun,0,Bonne,1,1,Rarement
229,229,Bonne,Élevé,0,0,Aucun,0,Bonne,1,0,Parfois
230,230,Mauvaise,Faible,1,0,Aucun,0,Bonne,0,0,Souvent
231,231,Très bonne,Faible,0,0,Aucun,0,Mauvaise,1,0,Souvent
232,232,Mauvaise,Très élevé,0,0,Aucun,0,Très bonne,1,1,Jamais
233,233,Très bonne,Très élevé,0,0,Aucun,1,Très bonne,1,0,Souvent
234,234,Bonne,Élevé,0,0,Aucun,0,Bonne,0,0,Souvent
235,235,Bonne,Très faible,1,0,Aucun,0,Bonne,0,1,Parfois
236,236,Très bonne,Faible,0,0,Aucun,0,Bonne,1,1,Jamais
237,237,Très bonne,Très élevé,0,0,Aucun,1,Très bonne,0,0,Parfois
238,238,Mauvaise,Faible,0,0,Aucun,1,Mauvaise,1,1,Souvent
239,239,Neutre,Très élevé,0,0,Aucun,0,Bonne,1,1,Parfois
240,240,Neutre,Très élevé,0,0,Aucun,1,Bonne,0,1,Parfois
241,241,Neutre,Faible,0,0,Cyberharcèlement,0,Très mauvaise,0,0,Parfois
242,242,Mauvaise,Élevé,0,0,Aucun,0,Neutre,1,1,Parfois
243,243,Neutre,Faible,0,0,Aucun,0,Bonne,1,0,Souvent
244,244,Bonne,Faible,1,0,Aucun,0,Mauvaise,0,1,Souvent
245,245,Très bonne,Très élevé,0,0,Aucun,0,Très bonne,1,0,Parfois
246,246,Mauvaise,Moyen,0,0,Aucun,0,Bonne,0,0,Jamais
247,247,Mauvaise,Faible,0,0,Aucun,1,Neutre,0,1,Rarement
248,248,Bonne,Faible,1,0,Aucun,0,Bonne,1,1,Souvent
249,249,Très mauvaise,Élevé,0,0,Aucun,0,Bonne,0,0,Rarement
250,250,Très bonne,Faible,0,1,Aucun,0,Très bonne,0,1,Rarement
251,251,Neutre,Très élevé,0,0,Aucun,0,Neutre,1,1,Parfois
252,252,Neutre,Très élevé,0,0,Aucun,0,Neutre,1,1,Rarement
253,253,Très bonne,Élevé,0,1,Aucun,1,Neutre,1,1,Jamais
254,254,Très bonne,Très élevé,1,0,Aucun,0,Très bonne,1,1,Souvent
255,255,Bonne,Faible,0,0,Aucun,1,Neutre,1,1,Rarement
256,256,Neutre,Faible,0,0,Aucun,0,Bonne,0,1,Jamais
257,257,Très bonne,Moyen,1,0,Aucun,0,Très bonne,1,1,Souvent
258,258,Neutre,Élevé,0,0,Aucun,0,Neutre,1,0,Souvent
259,259,Neutre,Très faible,0,0,Aucun,0,Neutre,0,0,Parfois
260,260,Bonne,Très élevé,0,0,Aucun,0,Bonne,1,0,Parfois
261,261,Mauvaise,Très faible,1,0,Aucun,0,Bonne,0,0,Jamais
262,262,Neutre,Moyen,0,0,Aucun,1,Très bonne,0,0,Souvent
263,263,Bonne,Élevé,0,0,Aucun,1,Bonne,0,1,Parfois
264,264,Très bonne,Très élevé,0,0,Aucun,0,Bonne,1,1,Souvent
265,265,Bonne,Moyen,0,0,Aucun,1,Très bonne,1,0,Parfois
266,266,Bonne,Moyen,1,0,Aucun,0,Bonne,1,0,Souvent
267,267,Très bonne,Très élevé,0,0,Aucun,1,Très bonne,0,1,Parfois
268,268,Neutre,Très faible,0,0,Aucun,0,Bonne,1,0,Rarement
269,269,Bonne,Très faible,0,0,Verbal,1,Mauvaise,1,1,Parfois
270,270,Mauvaise,Moyen,0,0,Aucun,0,Bonne,0,1,Parfois
271,271,Bonne,Faible,0,0,Aucun,0,Mauvaise,1,1,Parfois
272,272,Bonne,Élevé,0,0,Aucun,1,Bonne,0,0,Rarement
273,273,Mauvaise,Faible,0,0,Aucun,0,Très bonne,1,0,Rarement
274,274,Mauvaise,Moyen,0,0,Aucun,1,Bonne,0,0,Souvent
275,275,Neutre,Très faible,0,0,Aucun,0,Très mauvaise,1,1,Souvent
276,276,Neutre,Moyen,0,0,Aucun,0,Mauvaise,0,0,Jamais
277,277,Très bonne,Faible,0,0,Aucun,0,Bonne,1,0,Jamais
278,278,Mauvaise,Très faible,0,0,Moral,0,Neutre,1,1,Souvent
279,279,Très bonne,Très faible,0,0,Aucun,1,Bonne,1,0,Parfois
280,280,Bonne,Très élevé,0,0,Aucun,0,Très bonne,1,0,Parfois
281,281,Bonne,Élevé,1,0,Aucun,0,Neutre,1,1,Parfois
282,282,Neutre,Très faible,1,0,Aucun,0,Très bonne,0,1,Jamais
283,283,Très mauvaise,Moyen,0,1,Aucun,0,Neutre,1,0,Rarement
284,284,Neutre,Très faible,0,0,Aucun,0,Bonne,1,1,Souvent
285,285,Bonne,Élevé,0,0,Aucun,1,Mauvaise,1,1,Parfois
286,286,Neutre,Faible,0,0,Aucun,1,Bonne,1,1,Souvent
287,287,Bonne,Moyen,0,0,Cyberharcèlement,0,Neutre,0,0,Parfois
288,288,Neutre,Moyen,0,0,Aucun,0,Neutre,0,0,Rarement
289,289,Très mauvaise,Faible,1,0,Aucun,0,Mauvaise,0,1,Rarement
290,290,Neutre,Élevé,0,0,Aucun,0,Bonne,0,0,Rarement
291,291,Neutre,Faible,1,0,Aucun,0,Bonne,1,0,Souvent
292,292,Mauvaise,Moyen,0,0,Aucun,0,Bonne,1,0,Souvent
293,293,Très bonne,Élevé,0,0,Aucun,1,Neutre,1,0,Rarement
294,294,Bonne,Élevé,1,0,Aucun,0,Très bonne,1,1,Rarement
295,295,Mauvaise,Moyen,1,0,Aucun,1,Bonne,1,0,Parfois
296,296,Bonne,Très élevé,0,0,Aucun,0,Très bonne,1,0,Parfois
297,297,Très bonne,Élevé,0,0,Aucun,1,Très bonne,1,1,Parfois
298,298,Neutre,Moyen,1,0,Aucun,0,Bonne,1,1,Parfois
299,299,Mauvaise,Faible,0,0,Aucun,0,Bonne,1,0,Rarement
300,300,Très bonne,Élevé,1,0,Aucun,1,Mauvaise,1,1,Jamais
301,301,Neutre,Moyen,1,0,Aucun,1,Bonne,1,0,Souvent
302,302,Neutre,Moyen,0,0,Aucun,1,Neutre,1,0,Souvent
303,303,Bonne,Moyen,0,0,Aucun,0,Bonne,1,1,Rarement
304,304,Neutre,Très faible,0,1,Aucun,0,Mauvaise,0,0,Parfois
305,305,Neutre,Moyen,0,0,Aucun,1,Très bonne,0,0,Souvent
306,306,Bonne,Faible,1,0,Aucun,0,Très mauvaise,0,0,Jamais
307,307,Très bonne,Moyen,0,0,Aucun,1,Très bonne,0,0,Parfois
308,308,Bonne,Très élevé,0,0,Aucun,0,Bonne,1,0,Souvent
309,309,Bonne,Faible,0,0,Aucun,0,Très mauvaise,1,0,Jamais
310,310,Neutre,Faible,0,0,Aucun,0,Mauvaise,1,0,Rarement
311,311,Neutre,Moyen,0,0,Aucun,0,Bonne,0,0,Rarement
312,312,Neutre,Moyen,0,0,Aucun,0,Bonne,1,1,Souvent
313,313,Neutre,Élevé,1,0,Aucun,0,Mauvaise,0,1,Souvent
314,314,Très bonne,Moyen,0,0,Aucun,0,Mauvaise,1,0,Parfois
315,315,Neutre,Moyen,0,0,Aucun,0,Bonne,1,1,Rarement
316,316,Bonne,Élevé,0,0,Aucun,0,Bonne,0,1,Rarement
317,317,Très bonne,Faible,0,0,Aucun,0,Bonne,0,1,Parfois
318,318,Neutre,Très faible,0,0,Moral,1,Bonne,1,1,Parfois
319,319,Bonne,Moyen,1,0,Aucun,0,Neutre,1,0,Rarement
320,320,Mauvaise,Moyen,0,0,Aucun,1,Très mauvaise,0,1,Souvent
321,321,Neutre,Élevé,0,0,Aucun,0,Très bonne,1,0,Rarement
322,322,Très bonne,Élevé,0,0,Aucun,1,Mauvaise,0,1,Parfois
323,323,Bonne,Faible,0,0,Aucun,1,Mauvaise,1,0,Parfois
324,324,Bonne,Élevé,0,0,Aucun,0,Bonne,1,0,Parfois
325,325,Très bonne,Moyen,0,0,Aucun,0,Neutre,0,0,Souvent
326,326,Bonne,Très élevé,0,0,Aucun,1,Bonne,0,0,Parfois
327,327,Très bonne,Faible,0,0,Aucun,1,Neutre,1,0,Parfois
328,328,Très bonne,Élevé,0,0,Aucun,0,Très mauvaise,1,1,Rarement
329,329,Bonne,Moyen,0,0,Aucun,0,Neutre,0,0,Rarement
330,330,Très bonne,Moyen,0,0,Aucun,0,Très bonne,0,1,Souvent
331,331,Mauvaise,Très élevé,0,0,Aucun,0,Neutre,0,0,Souvent
332,332,Bonne,Élevé,0,0,Aucun,1,Neutre,1,0,Souvent
333,333,Très bonne,Élevé,0,0,Aucun,0,Très mauvaise,1,1,Rarement
334,334,Très bonne,Moyen,0,0,Aucun,0,Mauvaise,0,1,Rarement
335,335,Neutre,Moyen,0,0,Aucun,1,Très bonne,1,0,Rarement
336,336,Bonne,Moyen,1,0,Aucun,0,Mauvaise,1,1,Jamais
337,337,Neutre,Faible,0,0,Aucun,0,Bonne,0,1,Rarement
338,338,Neutre,Moyen,0,0,Aucun,0,Bonne,0,0,Parfois
339,339,Très bonne,Élevé,1,0,Verbal,1,Très bonne,1,0,Parfois
340,340,Bonne,Très élevé,0,0,Aucun,0,Très bonne,0,0,Parfois
341,341,Très bonne,Faible,0,0,Aucun,1,Mauvaise,0,0,Rarement
342,342,Bonne,Élevé,0,0,Moral,0,Bonne,0,0,Jamais
343,343,Neutre,Moyen,0,0,Aucun,1,Bonne,1,1,Rarement
