id_difficulte,id_etudiant,maitrise_metier_etudiant,difficulte_adaptation_methodes,difficulte_taille_groupes,interet_lecture_ecriture,frequence_etude_lecons,attente_veille_examens,participation_examens_semestriels,passé_scolaire_difficile,decrochage_anterieur_sec_prim,difficultes_pedagogiques_specifiques
44,44,Très bonne,Aucune,0,Élevé,Parfois,0,Tous,0,0,Expression écrite
45,45,Moyenne,Modérée,1,Élevé,Parfois,1,Tous,0,0,Organisation du travail
46,46,Bonne,Modérée,1,Faible,Jamais,1,Tous,0,0,Mémorisation
47,47,Mauvaise,Légère,0,Moyen,Régulièrement,0,Tous,0,0,Mémorisation
48,48,Bonne,Sévère,1,Moyen,Parfois,1,Tous,0,0,Aucune
49,49,Très bonne,Légère,0,Élevé,Parfois,1,Tous,0,0,Gestion du stress
50,50,Bonne,Légère,1,Moyen,Parfois,1,Tous,0,0,Aucune
51,51,Mauvaise,Sévère,0,Moyen,Parfois,0,Aucun,0,0,Gestion du stress
52,52,Très bonne,Modérée,1,Moyen,Intensivement,0,Tous,0,0,Aucune
53,53,Moyenne,Légère,1,Faible,Rarement,1,La plupart,0,0,Aucune
54,54,Moyenne,Légère,0,Faible,Intensivement,0,Tous,0,0,Mémorisation
55,55,Moyenne,Modérée,1,Faible,Parfois,0,Tous,0,0,Aucune
56,56,Moyenne,Sévère,0,Moyen,Régulièrement,0,Tous,0,0,Aucune
57,57,Moyenne,Sévère,0,Moyen,Rarement,1,La plupart,0,0,Mémorisation
58,58,Très bonne,Aucune,0,Moyen,Régulièrement,0,Tous,0,0,Aucune
59,59,Bonne,Sévère,0,Élevé,Parfois,0,Tous,0,0,Mémorisation
60,60,Très bonne,Légère,1,Élevé,Parfois,1,Tous,0,0,Aucune
61,61,Bonne,Légère,0,Moyen,Intensivement,0,Tous,0,0,Organisation du travail
62,62,Très mauvaise,Aucune,1,Élevé,Intensivement,0,Aucun,0,0,Aucune
63,63,Très mauvaise,Légère,1,Moyen,Rarement,1,Tous,0,0,Aucune
64,64,Moyenne,Légère,0,Faible,Jamais,1,Tous,0,0,Gestion du stress
65,65,Bonne,Aucune,0,Élevé,Régulièrement,0,La plupart,0,0,Expression écrite
66,66,Bonne,Modérée,0,Moyen,Régulièrement,0,Quelques-uns,0,0,Aucune
67,67,Moyenne,Aucune,0,Moyen,Intensivement,0,Tous,0,0,Mémorisation
68,68,Moyenne,Modérée,1,Moyen,Intensivement,1,La plupart,0,0,Aucune
69,69,Très mauvaise,Modérée,1,Faible,Intensivement,0,Tous,0,0,Gestion du stress
70,70,Moyenne,Aucune,0,Moyen,Régulièrement,1,Quelques-uns,0,0,Mémorisation
71,71,Bonne,Aucune,0,Moyen,Régulièrement,0,La plupart,0,0,Aucune
72,72,Très mauvaise,Aucune,0,Moyen,Régulièrement,1,La plupart,0,0,Mémorisation
73,73,Très bonne,Légère,1,Élevé,Parfois,0,Tous,0,0,Aucune
74,74,Moyenne,Sévère,1,Moyen,Jamais,1,La plupart,0,0,Mémorisation
75,75,Bonne,Sévère,0,Élevé,Rarement,1,Tous,0,0,Mémorisation
76,76,Très mauvaise,Modérée,1,Moyen,Jamais,1,Tous,0,0,Expression écrite
77,77,Très mauvaise,Modérée,1,Moyen,Régulièrement,0,Tous,0,0,Aucune
78,78,Bonne,Légère,0,Élevé,Régulièrement,0,Tous,0,0,Mémorisation
79,79,Bonne,Modérée,0,Moyen,Intensivement,0,Quelques-uns,0,0,Organisation du travail
80,80,Moyenne,Légère,0,Moyen,Régulièrement,0,La plupart,0,0,Organisation du travail
81,81,Très mauvaise,Légère,0,Élevé,Intensivement,0,Quelques-uns,0,0,Mémorisation
82,82,Bonne,Sévère,0,Faible,Parfois,0,Tous,0,0,Aucune
83,83,Très bonne,Sévère,1,Élevé,Parfois,1,Tous,0,0,Gestion du stress
84,84,Moyenne,Modérée,0,Moyen,Parfois,1,La plupart,0,0,Aucune
85,85,Mauvaise,Légère,1,Faible,Parfois,0,Tous,0,0,Compréhension des cours
86,86,Bonne,Légère,1,Moyen,Régulièrement,0,Tous,0,0,Compréhension des cours
87,87,Moyenne,Modérée,0,Moyen,Régulièrement,1,Tous,0,0,Aucune
88,88,Très bonne,Aucune,1,Élevé,Intensivement,0,Tous,1,0,Aucune
89,89,Moyenne,Aucune,0,Faible,Parfois,1,Tous,0,0,Compréhension des cours
90,90,Bonne,Légère,0,Élevé,Régulièrement,0,Tous,0,0,Aucune
91,91,Bonne,Modérée,1,Moyen,Jamais,1,La plupart,1,0,Organisation du travail
92,92,Très mauvaise,Aucune,0,Élevé,Rarement,1,Tous,0,0,Compréhension des cours
93,93,Moyenne,Aucune,1,Élevé,Intensivement,0,Tous,0,0,Gestion du stress
94,94,Bonne,Modérée,1,Moyen,Parfois,0,Tous,0,0,Aucune
95,95,Moyenne,Aucune,1,Élevé,Régulièrement,1,Tous,0,0,Mémorisation
96,96,Mauvaise,Aucune,1,Moyen,Régulièrement,0,Tous,0,0,Organisation du travail
97,97,Mauvaise,Sévère,0,Moyen,Parfois,1,La plupart,1,0,Aucune
98,98,Très bonne,Aucune,1,Élevé,Intensivement,0,La plupart,0,0,Expression écrite
99,99,Bonne,Aucune,0,Faible,Régulièrement,0,Tous,0,0,Organisation du travail
100,100,Très bonne,Légère,1,Faible,Régulièrement,1,Tous,1,1,Aucune
101,101,Bonne,Aucune,0,Faible,Intensivement,0,Tous,0,0,Aucune
102,102,Moyenne,Aucune,0,Faible,Régulièrement,1,Tous,0,0,Compréhension des cours
103,103,Mauvaise,Légère,0,Moyen,Régulièrement,0,Tous,1,1,Aucune
104,104,Bonne,Aucune,1,Élevé,Parfois,0,Tous,0,0,Compréhension des cours
105,105,Très bonne,Modérée,0,Moyen,Parfois,1,Quelques-uns,1,0,Aucune
106,106,Très bonne,Légère,0,Faible,Régulièrement,0,La plupart,0,0,Aucune
107,107,Moyenne,Aucune,1,Moyen,Parfois,1,Quelques-uns,0,0,Aucune
108,108,Bonne,Légère,0,Moyen,Parfois,0,Tous,0,0,Aucune
109,109,Moyenne,Aucune,0,Moyen,Intensivement,0,Tous,0,0,Organisation du travail
110,110,Mauvaise,Modérée,1,Moyen,Régulièrement,0,Tous,0,0,Compréhension des cours
111,111,Bonne,Modérée,1,Moyen,Rarement,1,La plupart,1,0,Expression écrite
112,112,Bonne,Aucune,0,Moyen,Intensivement,0,Tous,0,0,Gestion du stress
113,113,Bonne,Modérée,0,Élevé,Rarement,1,Tous,0,0,Expression écrite
114,114,Mauvaise,Légère,0,Élevé,Parfois,0,Tous,0,0,Compréhension des cours
115,115,Moyenne,Aucune,1,Moyen,Régulièrement,0,Tous,1,1,Aucune
116,116,Bonne,Aucune,0,Élevé,Régulièrement,0,Tous,0,0,Mémorisation
117,117,Moyenne,Légère,1,Moyen,Régulièrement,0,Tous,0,0,Mémorisation
118,118,Bonne,Aucune,0,Élevé,Intensivement,0,Tous,0,0,Aucune
119,119,Très bonne,Modérée,1,Élevé,Jamais,1,Tous,1,1,Organisation du travail
120,120,Très bonne,Aucune,1,Élevé,Régulièrement,1,Tous,1,0,Mémorisation
121,121,Très mauvaise,Modérée,1,Moyen,Intensivement,0,La plupart,1,1,Mémorisation
122,122,Mauvaise,Légère,0,Moyen,Régulièrement,0,Tous,0,0,Aucune
123,123,Moyenne,Modérée,0,Élevé,Rarement,1,Tous,0,0,Compréhension des cours
124,124,Mauvaise,Aucune,0,Moyen,Intensivement,0,Tous,0,0,Aucune
125,125,Moyenne,Aucune,0,Moyen,Régulièrement,1,Tous,0,0,Aucune
126,126,Très bonne,Sévère,0,Moyen,Parfois,0,La plupart,0,0,Aucune
127,127,Mauvaise,Modérée,1,Faible,Régulièrement,0,Tous,0,0,Aucune
128,128,Très bonne,Aucune,0,Élevé,Régulièrement,0,Tous,1,1,Aucune
129,129,Mauvaise,Modérée,0,Élevé,Parfois,0,Aucun,0,0,Expression écrite
130,130,Très bonne,Aucune,0,Élevé,Parfois,0,Aucun,0,0,Organisation du travail
131,131,Très mauvaise,Légère,1,Moyen,Régulièrement,0,Tous,0,0,Aucune
132,132,Mauvaise,Modérée,0,Moyen,Rarement,1,Tous,0,0,Aucune
133,133,Mauvaise,Modérée,0,Moyen,Rarement,1,La plupart,0,0,Mémorisation
134,134,Moyenne,Modérée,0,Moyen,Régulièrement,0,Tous,0,0,Aucune
135,135,Bonne,Sévère,0,Élevé,Parfois,1,Tous,0,0,Compréhension des cours
136,136,Très bonne,Modérée,1,Moyen,Régulièrement,0,Tous,0,0,Expression écrite
137,137,Mauvaise,Légère,1,Élevé,Intensivement,0,Tous,0,0,Compréhension des cours
138,138,Mauvaise,Aucune,1,Moyen,Régulièrement,0,Tous,1,1,Aucune
139,139,Bonne,Légère,0,Élevé,Régulièrement,0,Tous,0,0,Expression écrite
140,140,Moyenne,Aucune,0,Élevé,Parfois,0,Quelques-uns,0,0,Gestion du stress
141,141,Très bonne,Sévère,0,Élevé,Parfois,1,Tous,0,0,Compréhension des cours
142,142,Très bonne,Aucune,1,Faible,Intensivement,0,Tous,0,0,Aucune
143,143,Très mauvaise,Modérée,0,Faible,Régulièrement,0,Tous,1,1,Aucune
144,144,Moyenne,Légère,1,Moyen,Régulièrement,0,La plupart,0,0,Organisation du travail
145,145,Très bonne,Légère,0,Moyen,Régulièrement,0,Tous,0,0,Aucune
146,146,Mauvaise,Modérée,0,Faible,Jamais,0,Tous,0,0,Organisation du travail
147,147,Bonne,Aucune,0,Élevé,Intensivement,0,Tous,0,0,Aucune
148,148,Très bonne,Modérée,1,Élevé,Parfois,1,La plupart,1,1,Aucune
149,149,Bonne,Légère,0,Élevé,Intensivement,0,Tous,0,0,Aucune
150,150,Bonne,Aucune,0,Moyen,Régulièrement,0,Tous,0,0,Mémorisation
151,151,Très mauvaise,Modérée,1,Moyen,Régulièrement,0,Tous,1,0,Mémorisation
152,152,Mauvaise,Légère,0,Faible,Régulièrement,0,Tous,0,0,Gestion du stress
153,153,Bonne,Sévère,0,Moyen,Jamais,1,Tous,0,0,Expression écrite
154,154,Moyenne,Légère,0,Élevé,Intensivement,0,La plupart,1,0,Aucune
155,155,Moyenne,Modérée,1,Moyen,Régulièrement,0,Tous,0,0,Gestion du stress
156,156,Très mauvaise,Aucune,1,Moyen,Régulièrement,0,Quelques-uns,0,0,Gestion du stress
157,157,Bonne,Légère,0,Moyen,Parfois,1,Tous,0,0,Organisation du travail
158,158,Très bonne,Aucune,1,Élevé,Parfois,1,Tous,0,0,Mémorisation
159,159,Moyenne,Légère,1,Élevé,Intensivement,0,La plupart,0,0,Aucune
160,160,Bonne,Sévère,1,Élevé,Rarement,1,Tous,0,0,Compréhension des cours
161,161,Très bonne,Légère,0,Faible,Intensivement,0,Quelques-uns,0,0,Compréhension des cours
162,162,Mauvaise,Légère,1,Faible,Régulièrement,0,Tous,0,0,Aucune
163,163,Mauvaise,Aucune,0,Faible,Jamais,1,Tous,1,0,Gestion du stress
164,164,Mauvaise,Modérée,0,Faible,Parfois,0,La plupart,0,0,Organisation du travail
165,165,Bonne,Sévère,0,Moyen,Jamais,1,Tous,1,0,Gestion du stress
166,166,Moyenne,Légère,1,Moyen,Jamais,1,La plupart,0,0,Aucune
167,167,Très bonne,Sévère,1,Élevé,Régulièrement,0,Tous,0,0,Compréhension des cours
168,168,Moyenne,Aucune,1,Élevé,Régulièrement,0,Quelques-uns,0,0,Aucune
169,169,Bonne,Aucune,0,Élevé,Régulièrement,0,Aucun,0,0,Mémorisation
170,170,Mauvaise,Légère,0,Moyen,Parfois,1,Tous,0,0,Compréhension des cours
171,171,Moyenne,Modérée,1,Moyen,Jamais,1,La plupart,1,0,Aucune
172,172,Moyenne,Aucune,0,Élevé,Rarement,0,La plupart,0,0,Compréhension des cours
173,173,Moyenne,Légère,0,Moyen,Intensivement,0,Tous,0,0,Mémorisation
174,174,Très bonne,Aucune,0,Élevé,Régulièrement,1,Tous,0,0,Aucune
175,175,Bonne,Légère,0,Élevé,Intensivement,0,La plupart,0,0,Organisation du travail
176,176,Bonne,Légère,1,Élevé,Intensivement,0,La plupart,0,0,Organisation du travail
177,177,Bonne,Modérée,1,Faible,Régulièrement,0,Tous,0,0,Mémorisation
178,178,Moyenne,Légère,0,Élevé,Parfois,0,Aucun,0,0,Aucune
179,179,Moyenne,Aucune,0,Élevé,Régulièrement,0,La plupart,0,0,Mémorisation
180,180,Très bonne,Modérée,1,Moyen,Intensivement,1,Quelques-uns,0,0,Organisation du travail
181,181,Mauvaise,Aucune,1,Moyen,Régulièrement,0,Tous,1,0,Aucune
182,182,Très bonne,Légère,0,Élevé,Parfois,0,Tous,0,0,Compréhension des cours
183,183,Bonne,Sévère,1,Élevé,Parfois,0,Tous,0,0,Gestion du stress
184,184,Bonne,Légère,0,Élevé,Régulièrement,0,Quelques-uns,0,0,Expression écrite
185,185,Mauvaise,Modérée,1,Élevé,Régulièrement,0,Quelques-uns,0,0,Aucune
186,186,Mauvaise,Aucune,0,Moyen,Régulièrement,0,Tous,0,0,Gestion du stress
187,187,Mauvaise,Légère,0,Faible,Parfois,1,La plupart,0,0,Compréhension des cours
188,188,Moyenne,Légère,0,Élevé,Parfois,0,Tous,0,0,Gestion du stress
189,189,Très bonne,Modérée,0,Élevé,Parfois,1,Tous,1,0,Mémorisation
190,190,Très mauvaise,Aucune,1,Élevé,Parfois,0,La plupart,0,0,Compréhension des cours
191,191,Mauvaise,Légère,0,Élevé,Parfois,1,Tous,0,0,Organisation du travail
192,192,Bonne,Modérée,0,Élevé,Régulièrement,0,La plupart,0,0,Aucune
193,193,Moyenne,Sévère,0,Faible,Parfois,1,Tous,0,0,Aucune
194,194,Bonne,Modérée,0,Moyen,Parfois,0,La plupart,0,0,Aucune
195,195,Bonne,Légère,1,Moyen,Parfois,1,Tous,0,0,Aucune
196,196,Bonne,Aucune,0,Élevé,Rarement,0,Tous,0,0,Organisation du travail
197,197,Bonne,Légère,1,Élevé,Régulièrement,0,Tous,0,0,Expression écrite
198,198,Très mauvaise,Aucune,0,Faible,Parfois,0,Tous,0,0,Aucune
199,199,Bonne,Légère,1,Élevé,Régulièrement,0,La plupart,1,0,Mémorisation
200,200,Bonne,Modérée,1,Faible,Régulièrement,0,La plupart,0,0,Mémorisation
201,201,Mauvaise,Modérée,1,Moyen,Régulièrement,1,Tous,0,0,Gestion du stress
202,202,Très bonne,Légère,0,Moyen,Intensivement,0,La plupart,0,0,Organisation du travail
203,203,Moyenne,Sévère,0,Moyen,Régulièrement,0,La plupart,0,0,Aucune
204,204,Moyenne,Sévère,1,Faible,Parfois,1,Quelques-uns,0,0,Compréhension des cours
205,205,Très mauvaise,Légère,1,Moyen,Régulièrement,0,La plupart,0,0,Expression écrite
206,206,Bonne,Modérée,0,Moyen,Parfois,1,Tous,0,0,Aucune
207,207,Bonne,Modérée,0,Élevé,Régulièrement,0,Tous,0,0,Organisation du travail
208,208,Mauvaise,Légère,0,Élevé,Rarement,0,Tous,1,1,Aucune
209,209,Bonne,Légère,0,Moyen,Rarement,1,Tous,1,1,Aucune
210,210,Moyenne,Sévère,1,Moyen,Rarement,0,Tous,0,0,Aucune
211,211,Bonne,Sévère,0,Élevé,Régulièrement,0,Tous,0,0,Organisation du travail
212,212,Bonne,Modérée,1,Moyen,Rarement,1,Quelques-uns,1,1,Expression écrite
213,213,Moyenne,Légère,1,Élevé,Régulièrement,1,Tous,0,0,Aucune
214,214,Moyenne,Modérée,0,Faible,Parfois,1,Tous,0,0,Organisation du travail
215,215,Très bonne,Modérée,0,Élevé,Parfois,0,Tous,0,0,Aucune
216,216,Moyenne,Légère,0,Moyen,Parfois,1,Tous,0,0,Aucune
217,217,Très bonne,Sévère,1,Moyen,Parfois,0,Tous,0,0,Aucune
218,218,Moyenne,Aucune,1,Élevé,Régulièrement,0,La plupart,0,0,Organisation du travail
219,219,Très mauvaise,Légère,0,Moyen,Parfois,0,La plupart,0,0,Aucune
220,220,Très bonne,Aucune,1,Élevé,Parfois,0,Tous,0,0,Compréhension des cours
221,221,Bonne,Légère,1,Moyen,Parfois,1,Tous,0,0,Aucune
222,222,Bonne,Aucune,1,Élevé,Intensivement,1,Tous,0,0,Gestion du stress
223,223,Très bonne,Légère,0,Moyen,Régulièrement,0,Tous,0,0,Aucune
224,224,Bonne,Légère,1,Élevé,Jamais,1,Tous,1,1,Compréhension des cours
225,225,Moyenne,Aucune,1,Élevé,Parfois,0,Quelques-uns,0,0,Mémorisation
226,226,Moyenne,Modérée,0,Moyen,Intensivement,0,Tous,0,0,Aucune
227,227,Moyenne,Légère,0,Élevé,Régulièrement,0,Tous,0,0,Expression écrite
228,228,Bonne,Modérée,0,Moyen,Intensivement,0,Tous,0,0,Aucune
229,229,Bonne,Légère,0,Élevé,Régulièrement,1,La plupart,1,1,Aucune
230,230,Bonne,Modérée,1,Moyen,Parfois,1,Quelques-uns,1,0,Mémorisation
231,231,Mauvaise,Modérée,0,Moyen,Régulièrement,0,Tous,1,0,Compréhension des cours
232,232,Très bonne,Aucune,0,Élevé,Régulièrement,0,Tous,1,0,Aucune
233,233,Très bonne,Modérée,0,Élevé,Intensivement,0,Tous,0,0,Mémorisation
234,234,Mauvaise,Aucune,0,Moyen,Régulièrement,1,Tous,1,0,Expression écrite
235,235,Très bonne,Aucune,1,Élevé,Intensivement,0,Tous,0,0,Compréhension des cours
236,236,Mauvaise,Sévère,1,Moyen,Parfois,1,Tous,0,0,Expression écrite
237,237,Moyenne,Légère,1,Élevé,Parfois,1,Tous,0,0,Organisation du travail
238,238,Bonne,Modérée,0,Élevé,Régulièrement,0,Tous,0,0,Compréhension des cours
239,239,Bonne,Légère,0,Faible,Intensivement,0,Tous,0,0,Aucune
240,240,Bonne,Sévère,1,Faible,Régulièrement,0,Tous,0,0,Expression écrite
241,241,Très bonne,Sévère,1,Moyen,Parfois,1,Tous,0,0,Aucune
242,242,Bonne,Modérée,0,Moyen,Rarement,0,La plupart,1,0,Compréhension des cours
243,243,Moyenne,Modérée,0,Moyen,Rarement,1,Tous,0,0,Gestion du stress
244,244,Mauvaise,Modérée,0,Faible,Rarement,0,La plupart,0,0,Aucune
245,245,Bonne,Sévère,0,Élevé,Régulièrement,0,Tous,0,0,Aucune
246,246,Bonne,Aucune,0,Moyen,Régulièrement,0,Tous,1,1,Mémorisation
247,247,Très bonne,Légère,1,Faible,Jamais,1,Tous,0,0,Aucune
248,248,Bonne,Légère,1,Moyen,Régulièrement,1,Tous,1,0,Mémorisation
249,249,Bonne,Légère,0,Moyen,Parfois,0,La plupart,1,1,Mémorisation
250,250,Très bonne,Modérée,0,Moyen,Parfois,0,Tous,0,0,Aucune
251,251,Très bonne,Aucune,0,Élevé,Intensivement,0,Tous,0,0,Aucune
252,252,Bonne,Sévère,0,Moyen,Régulièrement,0,Tous,0,0,Organisation du travail
253,253,Mauvaise,Sévère,1,Faible,Jamais,1,La plupart,0,0,Organisation du travail
254,254,Bonne,Aucune,1,Élevé,Parfois,0,Tous,0,0,Mémorisation
255,255,Bonne,Légère,0,Moyen,Régulièrement,1,Tous,0,0,Expression écrite
256,256,Très mauvaise,Légère,1,Élevé,Rarement,0,Aucun,1,1,Compréhension des cours
257,257,Très bonne,Aucune,0,Élevé,Intensivement,0,Tous,0,0,Aucune
258,258,Mauvaise,Légère,1,Moyen,Régulièrement,1,La plupart,1,0,Organisation du travail
259,259,Mauvaise,Légère,1,Faible,Parfois,1,Tous,0,0,Aucune
260,260,Très bonne,Aucune,0,Élevé,Régulièrement,0,Tous,0,0,Organisation du travail
261,261,Bonne,Modérée,1,Élevé,Intensivement,0,Tous,0,0,Gestion du stress
262,262,Moyenne,Légère,1,Élevé,Régulièrement,0,Tous,0,0,Gestion du stress
263,263,Moyenne,Aucune,0,Moyen,Parfois,0,Tous,0,0,Mémorisation
264,264,Bonne,Modérée,1,Moyen,Régulièrement,0,Tous,0,0,Organisation du travail
265,265,Moyenne,Sévère,1,Moyen,Jamais,1,Tous,1,0,Gestion du stress
266,266,Moyenne,Modérée,0,Faible,Intensivement,0,La plupart,0,0,Organisation du travail
267,267,Mauvaise,Sévère,0,Élevé,Rarement,0,Tous,0,0,Expression écrite
268,268,Très mauvaise,Sévère,1,Moyen,Parfois,0,Quelques-uns,0,0,Aucune
269,269,Mauvaise,Modérée,0,Moyen,Rarement,1,Tous,1,1,Mémorisation
270,270,Bonne,Aucune,0,Faible,Régulièrement,0,Tous,1,0,Expression écrite
271,271,Mauvaise,Modérée,0,Faible,Régulièrement,1,Quelques-uns,1,0,Gestion du stress
272,272,Très bonne,Modérée,1,Élevé,Régulièrement,1,La plupart,0,0,Compréhension des cours
273,273,Très bonne,Légère,0,Élevé,Régulièrement,0,Tous,0,0,Aucune
274,274,Très bonne,Modérée,1,Moyen,Parfois,0,Quelques-uns,1,0,Aucune
275,275,Moyenne,Légère,0,Moyen,Intensivement,0,Tous,0,0,Expression écrite
276,276,Moyenne,Modérée,0,Faible,Régulièrement,0,Tous,1,1,Aucune
277,277,Mauvaise,Modérée,0,Faible,Régulièrement,0,Tous,0,0,Organisation du travail
278,278,Moyenne,Légère,0,Faible,Régulièrement,0,Tous,0,0,Compréhension des cours
279,279,Bonne,Légère,0,Moyen,Régulièrement,0,La plupart,0,0,Expression écrite
280,280,Très bonne,Aucune,1,Élevé,Régulièrement,1,Tous,0,0,Aucune
281,281,Bonne,Modérée,0,Faible,Jamais,0,Tous,0,0,Aucune
282,282,Bonne,Sévère,0,Faible,Jamais,1,La plupart,0,0,Aucune
283,283,Très mauvaise,Aucune,0,Faible,Régulièrement,0,Tous,1,1,Expression écrite
284,284,Moyenne,Aucune,1,Faible,Régulièrement,1,La plupart,0,0,Gestion du stress
285,285,Bonne,Modérée,0,Moyen,Rarement,0,Tous,0,0,Aucune
286,286,Moyenne,Modérée,0,Élevé,Intensivement,0,Tous,0,0,Aucune
287,287,Mauvaise,Modérée,0,Moyen,Régulièrement,0,Tous,1,1,Aucune
288,288,Moyenne,Modérée,0,Moyen,Régulièrement,0,Tous,1,0,Aucune
289,289,Très mauvaise,Aucune,0,Faible,Régulièrement,0,Tous,0,0,Compréhension des cours
290,290,Moyenne,Modérée,1,Moyen,Régulièrement,0,Tous,0,0,Compréhension des cours
291,291,Bonne,Aucune,1,Faible,Parfois,1,La plupart,0,0,Compréhension des cours
292,292,Mauvaise,Modérée,0,Moyen,Régulièrement,0,Aucun,0,0,Aucune
293,293,Bonne,Légère,0,Faible,Régulièrement,1,Tous,0,0,Compréhension des cours
294,294,Bonne,Légère,1,Faible,Parfois,0,Tous,0,0,Mémorisation
295,295,Moyenne,Modérée,0,Faible,Parfois,0,Tous,1,0,Aucune
296,296,Mauvaise,Modérée,1,Moyen,Régulièrement,1,La plupart,1,0,Aucune
297,297,Moyenne,Aucune,0,Élevé,Parfois,1,Tous,0,0,Aucune
298,298,Mauvaise,Légère,0,Faible,Parfois,1,Tous,0,0,Aucune
299,299,Mauvaise,Sévère,0,Moyen,Parfois,1,Tous,0,0,Aucune
300,300,Très bonne,Modérée,1,Moyen,Jamais,1,La plupart,0,0,Aucune
301,301,Mauvaise,Sévère,0,Moyen,Parfois,0,Tous,1,1,Mémorisation
302,302,Moyenne,Sévère,0,Moyen,Parfois,0,Tous,0,0,Aucune
303,303,Bonne,Modérée,0,Faible,Rarement,1,Tous,0,0,Compréhension des cours
304,304,Mauvaise,Modérée,0,Faible,Rarement,1,Quelques-uns,1,0,Organisation du travail
305,305,Moyenne,Aucune,0,Moyen,Intensivement,0,La plupart,1,0,Expression écrite
306,306,Mauvaise,Modérée,0,Faible,Rarement,1,La plupart,0,0,Aucune
