id_etudiant,isolement_social,victime_harcelement,difficultes_financieres_recurrentes,estime_de_soi,frequence_etude_lecons,score_risque,niveau_risque
103,0,0,0,Moyenne,Régulièrement,2,Risque faible
104,1,0,0,Moyenne,Parfois,4,Risque modéré
105,0,0,0,Élevée,Parfois,0,Risque faible
106,0,1,0,Faible,Régulièrement,6,Risque élevé
107,0,0,1,Moyenne,Parfois,4,Risque modéré
108,0,0,1,Élevée,Parfois,3,Risque modéré
109,0,0,1,Faible,Intensivement,5,Risque modéré
110,0,0,0,Élevée,Régulièrement,2,Risque faible
111,0,0,1,Élevée,Rarement,4,Risque modéré
112,0,0,0,Élevée,Intensivement,0,Risque faible
113,0,0,0,Moyenne,Rarement,3,Risque modéré
114,0,0,0,Moyenne,Parfois,2,Risque faible
115,0,0,1,Élevée,Régulièrement,3,Risque modéré
116,0,0,0,Élevée,Régulièrement,1,Risque faible
117,0,0,0,Élevée,Régulièrement,1,Risque faible
118,0,0,0,Faible,Intensivement,3,Risque modéré
119,0,0,0,Élevée,Jamais,3,Risque modéré
120,0,0,0,Moyenne,Régulièrement,1,Risque faible
121,0,0,1,Élevée,Intensivement,4,Risque modéré
122,0,0,0,Moyenne,Régulièrement,3,Risque modéré
123,0,0,0,Moyenne,Rarement,4,Risque modéré
124,0,0,0,Élevée,Intensivement,2,Risque faible
125,0,0,0,Moyenne,Régulièrement,3,Risque modéré
126,0,0,0,Élevée,Parfois,1,Risque faible
127,0,0,0,Moyenne,Régulièrement,3,Risque modéré
128,0,0,0,Élevée,Régulièrement,0,Risque faible
129,0,0,1,Moyenne,Parfois,5,Risque modéré
130,0,0,1,Moyenne,Parfois,5,Risque modéré
131,0,0,1,Moyenne,Régulièrement,4,Risque modéré
132,0,0,0,Élevée,Rarement,2,Risque faible
133,0,0,0,Moyenne,Rarement,4,Risque modéré
134,0,0,1,Moyenne,Régulièrement,4,Risque modéré
135,0,0,0,Élevée,Parfois,0,Risque faible
136,0,0,0,Élevée,Régulièrement,0,Risque faible
137,0,0,0,Moyenne,Intensivement,2,Risque faible
138,0,1,1,Moyenne,Régulièrement,7,Risque élevé
139,0,0,0,Élevée,Régulièrement,0,Risque faible
140,0,0,1,Faible,Parfois,6,Risque élevé
141,0,0,0,Moyenne,Parfois,1,Risque faible
142,0,0,0,Élevée,Intensivement,1,Risque faible
143,0,1,0,Élevée,Régulièrement,4,Risque modéré
144,0,0,0,Élevée,Régulièrement,1,Risque faible
145,0,0,1,Élevée,Régulièrement,3,Risque modéré
146,0,0,1,Faible,Jamais,8,Risque élevé
147,0,0,0,Moyenne,Intensivement,1,Risque faible
148,0,0,0,Élevée,Parfois,1,Risque faible
149,0,0,0,Moyenne,Intensivement,3,Risque modéré
150,0,0,0,Faible,Régulièrement,3,Risque modéré
151,0,0,0,Moyenne,Régulièrement,2,Risque faible
152,0,0,0,Moyenne,Régulièrement,2,Risque faible
153,0,0,0,Élevée,Jamais,3,Risque modéré
154,0,0,0,Faible,Intensivement,3,Risque modéré
155,0,0,0,Faible,Régulièrement,4,Risque modéré
156,0,0,1,Moyenne,Régulièrement,5,Risque modéré
157,0,0,1,Moyenne,Parfois,4,Risque modéré
158,1,0,1,Faible,Parfois,7,Risque élevé
159,0,0,1,Moyenne,Intensivement,4,Risque modéré
160,0,0,0,Élevée,Rarement,3,Risque modéré
161,0,0,0,Élevée,Intensivement,0,Risque faible
162,0,0,1,Moyenne,Régulièrement,4,Risque modéré
163,0,0,1,Moyenne,Jamais,7,Risque élevé
164,0,0,0,Moyenne,Parfois,3,Risque modéré
165,0,0,0,Moyenne,Jamais,4,Risque modéré
166,1,0,1,Faible,Jamais,10,Très haut risque
167,0,0,0,Moyenne,Régulièrement,1,Risque faible
168,0,0,0,Moyenne,Régulièrement,2,Risque faible
169,0,0,1,Élevée,Régulièrement,3,Risque modéré
170,0,0,0,Moyenne,Parfois,2,Risque faible
171,1,0,0,Moyenne,Jamais,6,Risque élevé
172,0,0,0,Élevée,Rarement,2,Risque faible
173,0,0,1,Faible,Intensivement,5,Risque modéré
174,0,0,1,Élevée,Régulièrement,3,Risque modéré
175,0,0,0,Élevée,Intensivement,0,Risque faible
176,0,0,0,Élevée,Intensivement,0,Risque faible
177,0,0,0,Élevée,Régulièrement,2,Risque faible
178,0,0,0,Faible,Parfois,4,Risque modéré
179,0,0,0,Élevée,Régulièrement,0,Risque faible
180,1,0,0,Moyenne,Intensivement,3,Risque modéré
181,0,0,0,Faible,Régulièrement,4,Risque modéré
182,0,0,0,Élevée,Parfois,0,Risque faible
183,0,0,0,Faible,Parfois,2,Risque faible
184,1,0,0,Faible,Régulièrement,5,Risque modéré
185,0,0,1,Faible,Régulièrement,6,Risque élevé
186,1,0,0,Moyenne,Régulièrement,3,Risque modéré
187,0,0,0,Élevée,Parfois,2,Risque faible
188,1,0,0,Moyenne,Parfois,5,Risque modéré
189,1,0,0,Moyenne,Parfois,3,Risque modéré
190,0,0,1,Moyenne,Parfois,5,Risque modéré
191,0,0,0,Moyenne,Parfois,2,Risque faible
192,0,0,0,Moyenne,Régulièrement,2,Risque faible
193,0,0,1,Faible,Parfois,6,Risque élevé
194,0,0,0,Faible,Parfois,3,Risque modéré
195,1,0,0,Moyenne,Parfois,5,Risque modéré
196,0,0,1,Moyenne,Rarement,6,Risque élevé
197,0,0,0,Élevée,Régulièrement,1,Risque faible
198,0,0,0,Élevée,Parfois,2,Risque faible
199,1,0,0,Moyenne,Régulièrement,4,Risque modéré
200,0,0,0,Élevée,Régulièrement,0,Risque faible
201,0,0,0,Moyenne,Régulièrement,3,Risque modéré
202,0,0,0,Élevée,Intensivement,1,Risque faible
203,0,0,1,Élevée,Régulièrement,3,Risque modéré
204,0,0,1,Élevée,Parfois,4,Risque modéré
205,1,0,1,Moyenne,Régulièrement,7,Risque élevé
206,0,0,0,Moyenne,Parfois,2,Risque faible
207,0,0,1,Moyenne,Régulièrement,5,Risque modéré
208,0,1,1,Faible,Rarement,9,Très haut risque
209,0,0,0,Faible,Rarement,5,Risque modéré
210,0,0,0,Moyenne,Rarement,3,Risque modéré
211,0,0,0,Moyenne,Régulièrement,1,Risque faible
212,0,0,0,Faible,Rarement,4,Risque modéré
213,0,0,0,Faible,Régulièrement,3,Risque modéré
214,0,0,1,Élevée,Parfois,3,Risque modéré
215,0,0,1,Moyenne,Parfois,4,Risque modéré
216,1,0,0,Faible,Parfois,5,Risque modéré
217,0,0,0,Moyenne,Parfois,2,Risque faible
218,1,0,0,Faible,Régulièrement,5,Risque modéré
219,0,0,0,Moyenne,Parfois,2,Risque faible
220,0,0,0,Moyenne,Parfois,2,Risque faible
221,0,0,0,Moyenne,Parfois,2,Risque faible
222,0,1,0,Élevée,Intensivement,2,Risque faible
223,0,0,0,Élevée,Régulièrement,0,Risque faible
224,0,0,1,Moyenne,Jamais,6,Risque élevé
225,1,0,1,Faible,Parfois,7,Risque élevé
226,0,0,0,Moyenne,Intensivement,2,Risque faible
227,0,0,1,Moyenne,Régulièrement,4,Risque modéré
228,0,0,0,Élevée,Intensivement,0,Risque faible
229,0,0,0,Élevée,Régulièrement,1,Risque faible
230,1,0,0,Moyenne,Parfois,4,Risque modéré
231,0,0,0,Moyenne,Régulièrement,3,Risque modéré
232,0,0,0,Élevée,Régulièrement,0,Risque faible
233,0,0,0,Élevée,Intensivement,1,Risque faible
234,0,0,0,Moyenne,Régulièrement,2,Risque faible
235,1,0,0,Moyenne,Intensivement,4,Risque modéré
236,0,0,1,Moyenne,Parfois,4,Risque modéré
237,0,0,1,Élevée,Parfois,2,Risque faible
238,0,0,0,Moyenne,Régulièrement,3,Risque modéré
239,0,0,0,Élevée,Intensivement,1,Risque faible
240,0,0,0,Moyenne,Régulièrement,2,Risque faible
241,0,0,1,Élevée,Parfois,4,Risque modéré
242,0,0,0,Élevée,Rarement,2,Risque faible
243,0,0,1,Moyenne,Rarement,6,Risque élevé
244,1,0,0,Faible,Rarement,7,Risque élevé
245,0,0,0,Élevée,Régulièrement,0,Risque faible
246,0,0,0,Moyenne,Régulièrement,3,Risque modéré
247,0,0,0,Élevée,Jamais,4,Risque modéré
248,1,0,1,Moyenne,Régulièrement,6,Risque élevé
249,0,0,0,Moyenne,Parfois,2,Risque faible
250,0,1,0,Moyenne,Parfois,4,Risque modéré
251,0,0,0,Moyenne,Intensivement,2,Risque faible
252,0,0,0,Élevée,Régulièrement,0,Risque faible
253,0,1,0,Élevée,Jamais,6,Risque élevé
254,1,0,0,Élevée,Parfois,2,Risque faible
255,0,0,0,Élevée,Régulièrement,1,Risque faible
256,0,0,1,Faible,Rarement,7,Risque élevé
257,1,0,0,Moyenne,Intensivement,3,Risque modéré
258,0,0,0,Élevée,Régulièrement,1,Risque faible
259,0,0,0,Moyenne,Parfois,3,Risque modéré
260,0,0,0,Moyenne,Régulièrement,1,Risque faible
261,1,0,0,Faible,Intensivement,5,Risque modéré
262,0,0,0,Moyenne,Régulièrement,2,Risque faible
263,0,0,0,Moyenne,Parfois,2,Risque faible
264,0,0,0,Moyenne,Régulièrement,2,Risque faible
265,0,0,0,Moyenne,Jamais,4,Risque modéré
266,1,0,0,Faible,Intensivement,5,Risque modéré
267,0,0,0,Élevée,Rarement,3,Risque modéré
268,0,0,0,Faible,Parfois,3,Risque modéré
269,0,0,0,Moyenne,Rarement,4,Risque modéré
270,0,0,1,Élevée,Régulièrement,3,Risque modéré
271,0,0,0,Moyenne,Régulièrement,3,Risque modéré
272,0,0,1,Élevée,Régulièrement,3,Risque modéré
273,0,0,0,Moyenne,Régulièrement,1,Risque faible
274,0,0,1,Faible,Parfois,6,Risque élevé
275,0,0,0,Faible,Intensivement,3,Risque modéré
276,0,0,0,Moyenne,Régulièrement,3,Risque modéré
277,0,0,0,Élevée,Régulièrement,1,Risque faible
278,0,0,1,Élevée,Régulièrement,4,Risque modéré
279,0,0,0,Élevée,Régulièrement,1,Risque faible
280,0,0,0,Élevée,Régulièrement,0,Risque faible
281,1,0,0,Moyenne,Jamais,6,Risque élevé
282,1,0,1,Moyenne,Jamais,9,Très haut risque
283,0,1,1,Moyenne,Régulièrement,7,Risque élevé
284,0,0,1,Faible,Régulièrement,6,Risque élevé
285,0,0,0,Élevée,Rarement,2,Risque faible
286,0,0,0,Élevée,Intensivement,0,Risque faible
287,0,0,0,Moyenne,Régulièrement,2,Risque faible
288,0,0,1,Moyenne,Régulièrement,4,Risque modéré
289,1,0,1,Faible,Régulièrement,8,Risque élevé
290,0,0,0,Moyenne,Régulièrement,2,Risque faible
291,1,0,1,Moyenne,Parfois,7,Risque élevé
292,0,0,1,Moyenne,Régulièrement,5,Risque modéré
293,0,0,0,Élevée,Régulièrement,1,Risque faible
294,1,0,0,Faible,Parfois,5,Risque modéré
295,1,0,1,Moyenne,Parfois,6,Risque élevé
296,0,0,0,Faible,Régulièrement,3,Risque modéré
297,0,0,0,Élevée,Parfois,1,Risque faible
298,1,0,0,Faible,Parfois,5,Risque modéré
299,0,0,0,Moyenne,Parfois,2,Risque faible
300,1,0,0,Moyenne,Jamais,6,Risque élevé
301,1,0,1,Faible,Parfois,7,Risque élevé
302,0,0,0,Élevée,Parfois,1,Risque faible
303,0,0,1,Faible,Rarement,6,Risque élevé
304,0,1,1,Faible,Rarement,9,Très haut risque
305,0,0,0,Élevée,Intensivement,0,Risque faible
306,1,0,0,Faible,Rarement,7,Risque élevé
307,0,0,0,Moyenne,Régulièrement,2,Risque faible
308,0,0,1,Moyenne,Intensivement,4,Risque modéré
309,0,0,0,Faible,Intensivement,3,Risque modéré
310,0,0,1,Moyenne,Parfois,5,Risque modéré
311,0,0,0,Moyenne,Régulièrement,2,Risque faible
312,0,0,1,Moyenne,Rarement,6,Risque élevé
313,1,0,1,Moyenne,Jamais,8,Risque élevé
314,0,0,0,Faible,Régulièrement,3,Risque modéré
315,0,0,0,Élevée,Parfois,0,Risque faible
316,0,0,0,Élevée,Parfois,2,Risque faible
317,0,0,1,Moyenne,Parfois,4,Risque modéré
318,0,0,0,Moyenne,Régulièrement,2,Risque faible
319,1,0,1,Faible,Jamais,10,Très haut risque
320,0,0,0,Élevée,Jamais,4,Risque modéré
321,0,0,0,Moyenne,Parfois,1,Risque faible
322,0,0,1,Moyenne,Rarement,6,Risque élevé
323,0,0,1,Moyenne,Intensivement,4,Risque modéré
324,0,0,0,Élevée,Rarement,1,Risque faible
325,0,0,0,Élevée,Régulièrement,1,Risque faible
326,0,0,0,Faible,Rarement,4,Risque modéré
327,0,0,1,Moyenne,Rarement,6,Risque élevé
328,0,0,0,Moyenne,Intensivement,1,Risque faible
329,0,0,0,Élevée,Intensivement,1,Risque faible
330,0,0,0,Élevée,Régulièrement,0,Risque faible
331,0,0,0,Moyenne,Intensivement,2,Risque faible
332,0,0,0,Moyenne,Rarement,2,Risque faible
333,0,0,0,Moyenne,Rarement,4,Risque modéré
334,0,0,0,Élevée,Rarement,3,Risque modéré
335,0,0,1,Faible,Intensivement,6,Risque élevé
336,1,0,0,Faible,Régulièrement,5,Risque modéré
337,0,0,1,Faible,Régulièrement,6,Risque élevé
338,0,0,0,Moyenne,Régulièrement,2,Risque faible
339,1,0,1,Faible,Parfois,8,Risque élevé
340,0,0,0,Faible,Parfois,3,Risque modéré
341,0,0,1,Moyenne,Rarement,6,Risque élevé
342,0,0,0,Moyenne,Parfois,2,Risque faible
343,0,0,0,Moyenne,Parfois,2,Risque faible
344,0,0,1,Moyenne,Intensivement,4,Risque modéré
345,1,0,1,Faible,Parfois,8,Risque élevé
346,1,0,0,Moyenne,Parfois,3,Risque modéré
347,1,0,0,Moyenne,Rarement,5,Risque modéré
348,0,0,0,Moyenne,Intensivement,1,Risque faible
349,0,0,0,Moyenne,Jamais,3,Risque modéré
350,0,0,0,Élevée,Jamais,2,Risque faible
351,0,0,1,Élevée,Parfois,4,Risque modéré
352,1,0,0,Faible,Régulièrement,5,Risque modéré
353,1,0,0,Faible,Régulièrement,5,Risque modéré
354,0,0,1,Moyenne,Parfois,4,Risque modéré
355,0,0,0,Moyenne,Parfois,2,Risque faible
356,1,0,0,Faible,Régulièrement,4,Risque modéré
357,0,0,0,Moyenne,Parfois,2,Risque faible
358,0,0,1,Moyenne,Régulièrement,5,Risque modéré
359,0,0,0,Élevée,Jamais,3,Risque modéré
360,0,0,0,Faible,Régulièrement,3,Risque modéré
361,0,0,0,Moyenne,Parfois,2,Risque faible
362,0,0,0,Moyenne,Intensivement,1,Risque faible
363,0,0,1,Moyenne,Parfois,5,Risque modéré
364,1,0,0,Moyenne,Parfois,4,Risque modéré
365,1,0,0,Moyenne,Rarement,6,Risque élevé
366,0,0,0,Moyenne,Régulièrement,2,Risque faible
367,0,0,0,Moyenne,Régulièrement,2,Risque faible
368,0,0,0,Moyenne,Intensivement,1,Risque faible
369,0,0,1,Élevée,Parfois,3,Risque modéré
370,1,0,0,Moyenne,Parfois,4,Risque modéré
371,0,0,0,Moyenne,Régulièrement,1,Risque faible
372,0,1,0,Élevée,Parfois,3,Risque modéré
373,0,0,0,Faible,Régulièrement,3,Risque modéré
374,0,0,0,Élevée,Régulièrement,1,Risque faible
375,0,0,0,Élevée,Régulièrement,0,Risque faible
376,0,0,0,Moyenne,Intensivement,3,Risque modéré
377,0,0,0,Faible,Rarement,5,Risque modéré
378,0,0,1,Moyenne,Jamais,6,Risque élevé
379,1,0,1,Élevée,Parfois,5,Risque modéré
380,0,0,0,Moyenne,Intensivement,3,Risque modéré
381,0,0,0,Faible,Parfois,3,Risque modéré
382,0,1,1,Élevée,Régulièrement,6,Risque élevé
383,0,0,0,Élevée,Parfois,0,Risque faible
384,0,0,0,Faible,Parfois,2,Risque faible
385,0,0,1,Moyenne,Régulièrement,5,Risque modéré
386,0,0,0,Moyenne,Jamais,5,Risque modéré
387,0,0,0,Moyenne,Intensivement,1,Risque faible
388,1,0,1,Moyenne,Rarement,8,Risque élevé
389,0,0,0,Élevée,Régulièrement,0,Risque faible
390,0,0,0,Élevée,Régulièrement,0,Risque faible
391,0,0,0,Faible,Régulièrement,4,Risque modéré
392,0,0,1,Moyenne,Rarement,6,Risque élevé
393,0,0,0,Élevée,Rarement,3,Risque modéré
394,0,0,1,Moyenne,Intensivement,5,Risque modéré
395,0,0,0,Élevée,Intensivement,0,Risque faible
396,0,0,0,Moyenne,Intensivement,2,Risque faible
397,0,0,0,Moyenne,Parfois,2,Risque faible
398,0,0,0,Moyenne,Parfois,1,Risque faible
399,0,0,0,Élevée,Rarement,2,Risque faible
400,0,0,0,Moyenne,Régulièrement,2,Risque faible
401,1,0,1,Faible,Parfois,8,Risque élevé
402,0,0,0,Élevée,Régulièrement,0,Risque faible
403,0,1,0,Moyenne,Parfois,4,Risque modéré
404,0,0,0,Moyenne,Rarement,3,Risque modéré
405,0,0,0,Élevée,Jamais,3,Risque modéré
406,0,0,0,Élevée,Parfois,0,Risque faible
407,0,0,1,Faible,Parfois,5,Risque modéré
408,0,0,1,Moyenne,Parfois,4,Risque modéré
409,0,0,0,Élevée,Régulièrement,0,Risque faible
410,0,0,0,Élevée,Intensivement,1,Risque faible
411,0,0,0,Élevée,Parfois,1,Risque faible
412,1,0,1,Moyenne,Parfois,7,Risque élevé
413,0,0,1,Moyenne,Rarement,6,Risque élevé
414,0,0,1,Moyenne,Parfois,5,Risque modéré
415,0,0,0,Élevée,Rarement,2,Risque faible
416,0,0,0,Moyenne,Régulièrement,2,Risque faible
417,0,0,0,Moyenne,Régulièrement,2,Risque faible
418,0,0,0,Élevée,Régulièrement,0,Risque faible
419,0,0,0,Moyenne,Régulièrement,2,Risque faible
420,0,0,1,Faible,Régulièrement,6,Risque élevé
421,0,0,0,Faible,Parfois,4,Risque modéré
422,0,0,0,Moyenne,Régulièrement,1,Risque faible
423,0,0,0,Moyenne,Régulièrement,1,Risque faible
424,0,0,1,Élevée,Parfois,4,Risque modéré
425,0,0,0,Élevée,Parfois,1,Risque faible
426,0,0,0,Moyenne,Intensivement,1,Risque faible
427,1,0,0,Moyenne,Parfois,5,Risque modéré
428,0,0,0,Élevée,Parfois,0,Risque faible
429,1,0,1,Faible,Régulièrement,7,Risque élevé
430,0,0,0,Moyenne,Rarement,3,Risque modéré
431,0,0,0,Moyenne,Intensivement,2,Risque faible
432,0,0,0,Moyenne,Rarement,4,Risque modéré
433,0,0,0,Moyenne,Parfois,2,Risque faible
434,0,0,0,Moyenne,Intensivement,2,Risque faible
435,0,0,0,Faible,Parfois,3,Risque modéré
436,0,0,0,Moyenne,Rarement,3,Risque modéré
437,0,0,0,Élevée,Régulièrement,0,Risque faible
438,0,0,0,Élevée,Parfois,1,Risque faible
439,0,0,0,Faible,Régulièrement,3,Risque modéré
440,0,0,1,Faible,Régulièrement,6,Risque élevé
441,0,0,0,Faible,Intensivement,4,Risque modéré
442,0,0,1,Élevée,Régulièrement,4,Risque modéré
443,0,0,0,Moyenne,Parfois,2,Risque faible
444,0,0,0,Faible,Intensivement,3,Risque modéré
445,0,0,1,Élevée,Parfois,3,Risque modéré
446,1,0,1,Moyenne,Parfois,6,Risque élevé
447,0,0,0,Moyenne,Régulièrement,3,Risque modéré
448,0,0,1,Faible,Rarement,7,Risque élevé
449,0,0,0,Moyenne,Régulièrement,1,Risque faible
450,0,0,1,Moyenne,Rarement,6,Risque élevé
451,0,0,0,Faible,Parfois,3,Risque modéré
452,0,0,0,Élevée,Régulièrement,1,Risque faible
453,0,0,0,Élevée,Intensivement,0,Risque faible
454,1,0,1,Faible,Rarement,9,Très haut risque
455,0,0,0,Élevée,Jamais,3,Risque modéré
456,0,0,0,Élevée,Régulièrement,0,Risque faible
457,1,0,1,Faible,Parfois,8,Risque élevé
458,1,0,1,Faible,Rarement,9,Très haut risque
459,0,0,0,Faible,Intensivement,2,Risque faible
460,0,0,0,Moyenne,Régulièrement,1,Risque faible
461,1,0,1,Faible,Intensivement,8,Risque élevé
462,0,0,1,Élevée,Rarement,4,Risque modéré
463,0,0,0,Moyenne,Intensivement,2,Risque faible
464,0,0,1,Élevée,Parfois,3,Risque modéré
465,0,0,0,Élevée,Intensivement,1,Risque faible
466,0,0,0,Faible,Rarement,5,Risque modéré
467,0,0,0,Élevée,Régulièrement,1,Risque faible
468,0,0,0,Élevée,Régulièrement,0,Risque faible
469,0,0,0,Élevée,Régulièrement,0,Risque faible
470,1,0,0,Faible,Jamais,7,Risque élevé
471,0,0,1,Élevée,Intensivement,3,Risque modéré
472,0,0,0,Élevée,Régulièrement,2,Risque faible
473,0,0,0,Élevée,Parfois,0,Risque faible
474,0,0,0,Faible,Parfois,4,Risque modéré
475,0,0,1,Faible,Rarement,6,Risque élevé
476,0,0,0,Élevée,Régulièrement,0,Risque faible
477,0,0,0,Moyenne,Parfois,1,Risque faible
478,0,0,0,Moyenne,Régulièrement,1,Risque faible
479,0,0,1,Moyenne,Rarement,6,Risque élevé
480,1,0,0,Faible,Rarement,7,Risque élevé
481,0,0,0,Moyenne,Parfois,2,Risque faible
482,1,0,1,Moyenne,Régulièrement,6,Risque élevé
483,0,0,0,Élevée,Intensivement,0,Risque faible
484,0,0,0,Faible,Jamais,5,Risque modéré
485,0,0,0,Moyenne,Régulièrement,3,Risque modéré
486,0,0,1,Moyenne,Parfois,4,Risque modéré
487,0,0,1,Faible,Parfois,6,Risque élevé
488,1,0,0,Faible,Rarement,7,Risque élevé
489,1,0,0,Faible,Parfois,6,Risque élevé
490,1,0,0,Moyenne,Rarement,5,Risque modéré
491,0,0,0,Moyenne,Régulièrement,1,Risque faible
492,1,0,0,Moyenne,Parfois,4,Risque modéré
493,0,0,1,Élevée,Régulièrement,4,Risque modéré
494,0,0,0,Moyenne,Régulièrement,2,Risque faible
495,0,0,0,Faible,Intensivement,3,Risque modéré
496,0,0,0,Élevée,Rarement,2,Risque faible
497,0,0,0,Moyenne,Régulièrement,2,Risque faible
498,0,0,0,Moyenne,Régulièrement,1,Risque faible
499,0,0,0,Moyenne,Régulièrement,2,Risque faible
500,0,0,1,Faible,Rarement,6,Risque élevé
