id_situation_eco,id_etudiant,mode_vie,a_emploi_remunere,heures_emploi_semaine,type_emploi,beneficie_bourse,montant_bourse_mensuel_fcfa,source_financement_principale,difficultes_financieres_recurrentes,depenses_mensuelles_fcfa
27,27,Cité universitaire,0,0,Aucun,0,0,Bourse + parents,0,69034
28,28,Cité universitaire,0,0,Aucun,1,38946,Parents uniquement,1,57219
29,29,Chez les parents,0,0,Aucun,1,34988,Parents uniquement,1,68755
30,30,Chez un proche,1,10,Commerce informel,0,0,Emploi rémunéré,0,45009
31,31,Cité universitaire,0,0,Aucun,0,0,Bourse + parents,1,59707
32,32,Cité universitaire,0,0,Aucun,0,0,Parents + emploi,0,72860
33,33,Chez les parents,0,0,Aucun,0,0,Bourse + parents,0,69829
34,34,Cité universitaire,0,0,Aucun,1,44090,Parents uniquement,0,79415
35,35,Chez les parents,0,0,Aucun,0,0,Parents uniquement,1,198917
36,36,Chez les parents,0,0,Aucun,0,0,Parents uniquement,0,115856
37,37,Location colocation,0,0,Aucun,0,0,Parents uniquement,1,186335
38,38,Chez un proche,1,1,Commerce informel,0,0,Emploi rémunéré,1,44837
39,39,Location colocation,0,0,Aucun,0,0,Emploi rémunéré,0,49516
40,40,Chez un proche,0,0,Aucun,0,0,Parents uniquement,0,89999
41,41,Location seul,0,0,Aucun,1,39849,Parents uniquement,0,70113
42,42,Chez les parents,0,0,Aucun,0,0,Bourse + parents,0,127900
43,43,Location colocation,0,0,Aucun,0,0,Parents uniquement,1,101812
44,44,Chez les parents,1,30,Auto-emploi,1,29439,Parents uniquement,1,42866
45,45,Location colocation,0,0,Aucun,0,0,Parents + emploi,1,72487
46,46,Location seul,0,0,Aucun,1,28017,Parents uniquement,0,61410
47,47,Location seul,1,5,Emploi formel,0,0,Bourse + parents,1,22555
48,48,Cité universitaire,0,0,Aucun,0,0,Parents + emploi,0,54205
49,49,Chez les parents,0,0,Aucun,1,65412,Parents uniquement,0,46254
50,50,Location seul,0,0,Aucun,1,50555,Bourse + parents,1,89156
51,51,Chez un proche,1,15,Commerce informel,0,0,Parents uniquement,1,54111
52,52,Location seul,0,0,Aucun,0,0,Parents uniquement,0,155369
53,53,Chez les parents,0,0,Aucun,1,20653,Parents + emploi,0,52285
54,54,Location colocation,0,0,Aucun,0,0,Autonome,0,101140
55,55,Location colocation,0,0,Aucun,1,26606,Bourse + parents,0,60444
56,56,Location colocation,0,0,Aucun,0,0,Parents uniquement,1,57933
57,57,Location colocation,0,0,Aucun,1,51931,Parents uniquement,1,57423
58,58,Location colocation,0,0,Aucun,0,0,Autonome,0,125932
59,59,Location seul,0,0,Aucun,1,30991,Parents uniquement,0,140184
60,60,Location colocation,0,0,Aucun,0,0,Parents uniquement,0,100349
61,61,Chez les parents,1,30,Petits boulots,1,33776,Bourse + parents,0,128193
62,62,Location seul,0,0,Aucun,0,0,Bourse + parents,0,74817
63,63,Chez un proche,0,0,Aucun,0,0,Bourse + parents,0,100256
64,64,Chez les parents,1,5,Emploi formel,1,31026,Parents + emploi,1,51313
65,65,Chez les parents,0,0,Aucun,0,0,Parents uniquement,0,112956
66,66,Chez un proche,0,0,Aucun,0,0,Bourse + parents,0,44096
67,67,Cité universitaire,0,0,Aucun,0,0,Parents + emploi,0,63834
68,68,Cité universitaire,0,0,Aucun,1,29979,Parents uniquement,1,89893
69,69,Chez les parents,0,0,Aucun,0,0,Bourse uniquement,1,61532
70,70,Chez les parents,0,0,Aucun,0,0,Bourse + parents,0,89270
71,71,Chez un proche,0,0,Aucun,1,73595,Bourse + parents,0,48502
72,72,Chez les parents,0,0,Aucun,0,0,Bourse uniquement,0,79309
73,73,Chez les parents,1,15,Commerce informel,0,0,Bourse + parents,1,57549
74,74,Cité universitaire,0,0,Aucun,0,0,Parents + emploi,1,30032
75,75,Cité universitaire,0,0,Aucun,0,0,Parents uniquement,0,114173
76,76,Chez un proche,1,20,Petits boulots,1,60393,Bourse uniquement,0,89338
77,77,Location seul,0,0,Aucun,0,0,Emploi rémunéré,0,83611
78,78,Chez les parents,0,0,Aucun,0,0,Parents uniquement,0,129610
79,79,Cité universitaire,1,1,Emploi formel,0,0,Bourse uniquement,0,32065
80,80,Chez les parents,0,0,Aucun,1,34364,Parents uniquement,0,61579
81,81,Chez un proche,0,0,Aucun,0,0,Bourse uniquement,0,43248
82,82,Cité universitaire,0,0,Aucun,0,0,Parents uniquement,0,103748
83,83,Chez les parents,1,10,Commerce informel,0,0,Bourse + parents,0,54752
84,84,Chez un proche,0,0,Aucun,1,62583,Autonome,1,34135
85,85,Chez un proche,0,0,Aucun,0,0,Parents uniquement,0,107366
86,86,Location colocation,0,0,Aucun,0,0,Bourse uniquement,1,71568
87,87,Chez les parents,0,0,Aucun,0,0,Autonome,1,78229
88,88,Chez un proche,1,10,Petits boulots,0,0,Parents uniquement,1,103800
89,89,Cité universitaire,0,0,Aucun,0,0,Bourse + parents,0,67443
90,90,Chez les parents,1,20,Emploi formel,0,0,Bourse + parents,1,62277
91,91,Location colocation,0,0,Aucun,1,42597,Bourse + parents,1,57602
92,92,Chez un proche,0,0,Aucun,0,0,Parents + emploi,0,88896
93,93,Chez les parents,0,0,Aucun,0,0,Parents uniquement,0,161382
94,94,Cité universitaire,0,0,Aucun,0,0,Parents uniquement,0,75666
95,95,Chez les parents,1,10,Commerce informel,0,0,Bourse + parents,0,27941
96,96,Chez les parents,0,0,Aucun,0,0,Parents uniquement,0,195195
97,97,Chez les parents,0,0,Aucun,0,0,Parents uniquement,0,55419
98,98,Location seul,0,0,Aucun,0,0,Bourse + parents,0,63433
99,99,Location colocation,1,30,Auto-emploi,0,0,Autonome,0,103160
100,100,Cité universitaire,0,0,Aucun,0,0,Bourse + parents,1,57887
101,101,Location seul,0,0,Aucun,0,0,Parents + emploi,0,103992
102,102,Location seul,1,20,Commerce informel,0,0,Parents uniquement,0,69998
103,103,Chez un proche,0,0,Aucun,0,0,Bourse uniquement,0,108814
104,104,Location colocation,0,0,Aucun,1,40883,Autonome,0,71473
105,105,Chez un proche,0,0,Aucun,0,0,Parents uniquement,0,105642
106,106,Chez les parents,1,20,Petits boulots,0,0,Bourse uniquement,0,64997
107,107,Location seul,0,0,Aucun,0,0,Bourse + parents,1,64711
108,108,Chez un proche,0,0,Aucun,0,0,Parents uniquement,1,76936
109,109,Cité universitaire,0,0,Aucun,0,0,Parents uniquement,1,66455
110,110,Cité universitaire,1,20,Petits boulots,0,0,Bourse + parents,0,47752
111,111,Chez les parents,0,0,Aucun,0,0,Parents + emploi,1,74325
112,112,Location seul,0,0,Aucun,0,0,Bourse + parents,0,105861
113,113,Chez un proche,0,0,Aucun,0,0,Parents uniquement,0,45479
114,114,Chez les parents,0,0,Aucun,0,0,Bourse uniquement,0,105479
115,115,Chez les parents,0,0,Aucun,0,0,Parents + emploi,1,85777
116,116,Location seul,0,0,Aucun,0,0,Bourse + parents,0,53676
117,117,Chez les parents,0,0,Aucun,0,0,Parents + emploi,0,85753
118,118,Chez les parents,1,10,Auto-emploi,0,0,Bourse + parents,0,77035
119,119,Chez un proche,0,0,Aucun,0,0,Parents uniquement,0,81095
120,120,Cité universitaire,0,0,Aucun,1,31144,Bourse + parents,0,176011
121,121,Chez les parents,1,5,Emploi formel,0,0,Parents + emploi,1,24812
122,122,Location colocation,0,0,Aucun,0,0,Parents + emploi,0,44844
123,123,Location colocation,0,0,Aucun,0,0,Bourse uniquement,0,28346
124,124,Location seul,0,0,Aucun,1,74724,Parents uniquement,0,58737
125,125,Location seul,1,10,Petits boulots,0,0,Parents + emploi,0,46654
126,126,Chez les parents,0,0,Aucun,0,0,Parents uniquement,0,52641
127,127,Cité universitaire,1,10,Commerce informel,0,0,Emploi rémunéré,0,40235
128,128,Location seul,0,0,Aucun,0,0,Parents + emploi,0,210190
129,129,Chez les parents,0,0,Aucun,1,56111,Bourse + parents,1,38646
130,130,Location colocation,0,0,Aucun,0,0,Parents uniquement,1,62311
131,131,Chez les parents,0,0,Aucun,0,0,Emploi rémunéré,1,45944
132,132,Location seul,0,0,Aucun,0,0,Bourse + parents,0,105297
133,133,Location seul,0,0,Aucun,1,42481,Parents uniquement,0,46940
134,134,Location seul,0,0,Aucun,0,0,Parents + emploi,1,106098
135,135,Location colocation,0,0,Aucun,0,0,Parents uniquement,0,128503
136,136,Cité universitaire,0,0,Aucun,0,0,Parents uniquement,0,208158
137,137,Chez les parents,0,0,Aucun,0,0,Bourse + parents,0,66328
138,138,Cité universitaire,1,10,Auto-emploi,0,0,Parents uniquement,1,35876
139,139,Location seul,0,0,Aucun,0,0,Parents uniquement,0,108087
140,140,Location colocation,0,0,Aucun,1,67505,Bourse + parents,1,30143
141,141,Location colocation,0,0,Aucun,0,0,Parents uniquement,0,96940
142,142,Chez les parents,0,0,Aucun,0,0,Autonome,0,73924
143,143,Cité universitaire,1,5,Petits boulots,0,0,Parents uniquement,0,59828
144,144,Cité universitaire,0,0,Aucun,0,0,Bourse uniquement,0,51112
145,145,Cité universitaire,1,15,Auto-emploi,1,22559,Parents uniquement,1,53063
146,146,Cité universitaire,0,0,Aucun,0,0,Emploi rémunéré,1,45934
147,147,Location colocation,0,0,Aucun,0,0,Parents uniquement,0,196987
148,148,Location colocation,0,0,Aucun,0,0,Parents uniquement,0,88809
149,149,Location colocation,0,0,Aucun,1,52845,Parents + emploi,0,44252
150,150,Cité universitaire,0,0,Aucun,0,0,Bourse uniquement,0,102014
151,151,Location colocation,0,0,Aucun,1,55379,Parents uniquement,0,109294
152,152,Chez les parents,1,1,Auto-emploi,1,51560,Parents uniquement,0,85228
153,153,Location seul,0,0,Aucun,0,0,Parents uniquement,0,100959
154,154,Chez les parents,0,0,Aucun,0,0,Bourse + parents,0,56939
155,155,Chez les parents,0,0,Aucun,0,0,Emploi rémunéré,0,57695
156,156,Location seul,0,0,Aucun,0,0,Parents + emploi,1,26348
157,157,Chez les parents,0,0,Aucun,1,63099,Parents uniquement,1,72783
158,158,Chez un proche,1,5,Emploi formel,1,22120,Parents + emploi,1,61002
159,159,Location seul,0,0,Aucun,0,0,Bourse + parents,1,86690
160,160,Chez un proche,0,0,Aucun,0,0,Bourse + parents,0,47308
161,161,Location colocation,0,0,Aucun,1,61291,Parents uniquement,0,163869
162,162,Location seul,0,0,Aucun,0,0,Bourse + parents,1,94072
163,163,Location seul,0,0,Aucun,0,0,Emploi rémunéré,1,47896
164,164,Location colocation,0,0,Aucun,0,0,Parents uniquement,0,46139
165,165,Location seul,1,15,Commerce informel,0,0,Bourse + parents,0,99787
166,166,Location colocation,0,0,Aucun,0,0,Parents uniquement,1,27329
167,167,Location colocation,0,0,Aucun,0,0,Parents uniquement,0,209287
168,168,Chez les parents,0,0,Aucun,0,0,Parents uniquement,0,48074
169,169,Chez les parents,0,0,Aucun,0,0,Bourse uniquement,1,59188
170,170,Location colocation,0,0,Aucun,0,0,Parents uniquement,0,46584
171,171,Chez un proche,0,0,Aucun,0,0,Parents + emploi,0,62062
172,172,Chez les parents,0,0,Aucun,0,0,Autonome,0,64292
173,173,Cité universitaire,1,15,Auto-emploi,0,0,Autonome,1,55045
174,174,Chez les parents,0,0,Aucun,0,0,Parents + emploi,1,57254
175,175,Chez un proche,0,0,Aucun,0,0,Bourse uniquement,0,172294
176,176,Chez un proche,0,0,Aucun,0,0,Parents uniquement,0,153840
177,177,Chez un proche,0,0,Aucun,0,0,Bourse + parents,0,26179
178,178,Location seul,1,30,Petits boulots,1,32836,Parents uniquement,0,60681
179,179,Location seul,0,0,Aucun,0,0,Parents uniquement,0,176643
180,180,Chez un proche,0,0,Aucun,0,0,Bourse uniquement,0,182054
181,181,Chez un proche,0,0,Aucun,0,0,Autonome,0,45554
182,182,Chez les parents,0,0,Aucun,0,0,Bourse + parents,0,97367
183,183,Cité universitaire,0,0,Aucun,1,37098,Parents uniquement,0,190636
184,184,Location colocation,0,0,Aucun,1,55101,Parents + emploi,0,82803
185,185,Cité universitaire,0,0,Aucun,0,0,Parents + emploi,1,64927
186,186,Location colocation,0,0,Aucun,0,0,Parents uniquement,0,178517
187,187,Cité universitaire,1,30,Emploi formel,1,30909,Parents uniquement,0,32007
188,188,Location seul,0,0,Aucun,0,0,Bourse + parents,0,34646
189,189,Chez les parents,0,0,Aucun,0,0,Parents + emploi,0,147913
190,190,Location seul,0,0,Aucun,0,0,Parents + emploi,1,47085
191,191,Cité universitaire,0,0,Aucun,0,0,Bourse + parents,0,74084
192,192,Cité universitaire,0,0,Aucun,0,0,Parents uniquement,0,85062
193,193,Cité universitaire,0,0,Aucun,0,0,Parents + emploi,1,40682
194,194,Cité universitaire,0,0,Aucun,0,0,Parents + emploi,0,76981
195,195,Cité universitaire,0,0,Aucun,1,30752,Bourse + parents,0,61946
196,196,Cité universitaire,0,0,Aucun,0,0,Emploi rémunéré,1,38516
197,197,Location seul,0,0,Aucun,0,0,Bourse + parents,0,62868
198,198,Location colocation,0,0,Aucun,0,0,Parents + emploi,0,36097
199,199,Cité universitaire,0,0,Aucun,0,0,Parents uniquement,0,102699
200,200,Chez un proche,1,15,Petits boulots,0,0,Parents uniquement,0,186151
201,201,Cité universitaire,0,0,Aucun,0,0,Emploi rémunéré,0,41003
202,202,Location seul,0,0,Aucun,0,0,Parents + emploi,0,71089
203,203,Cité universitaire,0,0,Aucun,0,0,Bourse + parents,1,96722
204,204,Location colocation,0,0,Aucun,0,0,Emploi rémunéré,1,38607
205,205,Chez les parents,0,0,Aucun,0,0,Emploi rémunéré,1,47949
206,206,Chez les parents,0,0,Aucun,0,0,Parents + emploi,0,57335
207,207,Location colocation,1,15,Emploi formel,0,0,Bourse + parents,1,44394
208,208,Location colocation,0,0,Aucun,0,0,Emploi rémunéré,1,57770
209,209,Cité universitaire,1,20,Auto-emploi,1,68129,Parents uniquement,0,37220
210,210,Chez les parents,0,0,Aucun,1,43886,Parents + emploi,0,75405
211,211,Chez les parents,0,0,Aucun,0,0,Parents + emploi,0,109163
212,212,Chez un proche,0,0,Aucun,0,0,Parents + emploi,0,68634
213,213,Location colocation,1,10,Petits boulots,0,0,Bourse + parents,0,75154
214,214,Chez les parents,0,0,Aucun,1,27913,Parents uniquement,1,103411
215,215,Chez les parents,0,0,Aucun,0,0,Parents uniquement,1,68541
216,216,Chez les parents,0,0,Aucun,0,0,Parents uniquement,0,100297
217,217,Chez les parents,0,0,Aucun,1,20749,Parents uniquement,0,58020
218,218,Location colocation,0,0,Aucun,0,0,Parents uniquement,0,78733
219,219,Cité universitaire,0,0,Aucun,0,0,Parents uniquement,0,84647
220,220,Cité universitaire,0,0,Aucun,0,0,Parents uniquement,0,84504
221,221,Cité universitaire,0,0,Aucun,0,0,Parents uniquement,0,66898
222,222,Location seul,0,0,Aucun,0,0,Parents uniquement,0,114910
223,223,Location seul,0,0,Aucun,0,0,Emploi rémunéré,0,160451
224,224,Chez les parents,0,0,Aucun,0,0,Bourse + parents,1,83741
225,225,Cité universitaire,1,15,Emploi formel,0,0,Bourse + parents,1,78671
226,226,Chez les parents,0,0,Aucun,1,49738,Parents uniquement,0,56001
227,227,Chez les parents,1,10,Commerce informel,1,66883,Parents uniquement,1,58345
228,228,Location colocation,0,0,Aucun,0,0,Parents uniquement,0,101949
229,229,Chez les parents,0,0,Aucun,0,0,Parents uniquement,0,53993
230,230,Chez les parents,0,0,Aucun,0,0,Bourse + parents,0,93428
231,231,Cité universitaire,0,0,Aucun,1,35365,Emploi rémunéré,0,60075
232,232,Cité universitaire,0,0,Aucun,1,47373,Bourse + parents,0,215652
233,233,Chez les parents,0,0,Aucun,0,0,Parents uniquement,0,57315
234,234,Cité universitaire,0,0,Aucun,0,0,Parents uniquement,0,81729
235,235,Location colocation,0,0,Aucun,0,0,Parents uniquement,0,46757
236,236,Chez les parents,1,5,Auto-emploi,0,0,Parents uniquement,1,71218
237,237,Location seul,0,0,Aucun,0,0,Parents uniquement,1,218730
238,238,Location seul,0,0,Aucun,0,0,Parents + emploi,0,42182
239,239,Cité universitaire,0,0,Aucun,1,38981,Emploi rémunéré,0,57124
240,240,Cité universitaire,0,0,Aucun,1,56483,Parents uniquement,0,98914
241,241,Chez les parents,0,0,Aucun,0,0,Bourse + parents,1,22255
242,242,Location colocation,0,0,Aucun,0,0,Parents uniquement,0,71883
243,243,Location seul,0,0,Aucun,0,0,Emploi rémunéré,1,58344
244,244,Chez les parents,1,20,Auto-emploi,1,35594,Bourse + parents,0,39517
245,245,Chez les parents,0,0,Aucun,0,0,Bourse + parents,0,166731
246,246,Chez les parents,0,0,Aucun,1,35555,Emploi rémunéré,0,41432
247,247,Cité universitaire,0,0,Aucun,0,0,Parents + emploi,0,57698
248,248,Cité universitaire,0,0,Aucun,0,0,Parents uniquement,1,101848
249,249,Location seul,0,0,Aucun,0,0,Emploi rémunéré,0,53469
250,250,Chez les parents,0,0,Aucun,0,0,Bourse uniquement,0,45084
251,251,Location colocation,0,0,Aucun,0,0,Parents uniquement,0,98715
252,252,Chez les parents,0,0,Aucun,0,0,Parents + emploi,0,93526
253,253,Chez les parents,0,0,Aucun,0,0,Parents uniquement,0,32918
254,254,Chez les parents,0,0,Aucun,0,0,Parents + emploi,0,193342
255,255,Location colocation,0,0,Aucun,1,50487,Parents + emploi,0,83014
256,256,Chez les parents,0,0,Aucun,1,52408,Parents uniquement,1,61397
257,257,Location colocation,0,0,Aucun,0,0,Emploi rémunéré,0,146195
258,258,Chez les parents,0,0,Aucun,0,0,Bourse uniquement,0,87595
259,259,Cité universitaire,1,10,Petits boulots,0,0,Emploi rémunéré,0,52608
260,260,Location seul,0,0,Aucun,0,0,Parents + emploi,0,116441
261,261,Location colocation,0,0,Aucun,0,0,Parents + emploi,0,57929
262,262,Chez les parents,0,0,Aucun,0,0,Bourse uniquement,0,76197
263,263,Chez un proche,1,40,Auto-emploi,1,69341,Parents uniquement,0,81645
264,264,Chez un proche,0,0,Aucun,0,0,Parents + emploi,0,105901
265,265,Location seul,0,0,Aucun,0,0,Parents uniquement,0,53038
266,266,Location seul,0,0,Aucun,0,0,Parents uniquement,0,45335
267,267,Chez un proche,0,0,Aucun,1,57460,Bourse uniquement,0,63101
268,268,Chez les parents,0,0,Aucun,0,0,Parents uniquement,0,108916
269,269,Cité universitaire,0,0,Aucun,0,0,Parents + emploi,0,52151
270,270,Location colocation,1,5,Auto-emploi,0,0,Bourse + parents,1,97919
271,271,Cité universitaire,1,20,Auto-emploi,1,65868,Parents + emploi,0,23075
272,272,Chez les parents,0,0,Aucun,0,0,Parents + emploi,1,87044
273,273,Chez un proche,0,0,Aucun,0,0,Parents uniquement,0,194757
274,274,Cité universitaire,0,0,Aucun,0,0,Bourse uniquement,1,59364
275,275,Chez les parents,1,5,Auto-emploi,0,0,Emploi rémunéré,0,106949
276,276,Chez les parents,1,10,Commerce informel,0,0,Parents uniquement,0,54638
277,277,Cité universitaire,0,0,Aucun,0,0,Parents + emploi,0,66036
278,278,Location colocation,1,15,Commerce informel,0,0,Parents uniquement,1,42844
279,279,Cité universitaire,0,0,Aucun,0,0,Parents uniquement,0,108525
280,280,Location colocation,0,0,Aucun,0,0,Bourse + parents,0,96303
281,281,Chez un proche,0,0,Aucun,0,0,Parents + emploi,0,83843
282,282,Location colocation,0,0,Aucun,1,58010,Bourse + parents,1,30329
283,283,Chez un proche,0,0,Aucun,0,0,Parents uniquement,1,45720
284,284,Cité universitaire,0,0,Aucun,0,0,Emploi rémunéré,1,28875
285,285,Chez les parents,0,0,Aucun,1,25591,Emploi rémunéré,0,61640
286,286,Location seul,0,0,Aucun,0,0,Bourse + parents,0,168308
287,287,Chez un proche,0,0,Aucun,0,0,Parents uniquement,0,106314
288,288,Chez les parents,0,0,Aucun,0,0,Emploi rémunéré,1,65595
289,289,Chez les parents,0,0,Aucun,0,0,Bourse uniquement,1,60748
290,290,Location colocation,0,0,Aucun,0,0,Bourse + parents,0,53649
291,291,Location colocation,0,0,Aucun,1,78158,Bourse + parents,1,48944
292,292,Chez un proche,0,0,Aucun,1,30819,Parents uniquement,1,29706
293,293,Chez les parents,1,10,Auto-emploi,0,0,Bourse + parents,0,53582
294,294,Chez les parents,0,0,Aucun,0,0,Parents + emploi,0,49712
295,295,Cité universitaire,0,0,Aucun,0,0,Emploi rémunéré,1,79427
296,296,Location seul,0,0,Aucun,0,0,Bourse + parents,0,71525
297,297,Location seul,1,5,Auto-emploi,0,0,Autonome,0,103750
298,298,Chez les parents,1,30,Commerce informel,0,0,Bourse uniquement,0,100170
299,299,Chez un proche,0,0,Aucun,0,0,Parents uniquement,0,100047
300,300,Location colocation,0,0,Aucun,0,0,Parents uniquement,0,48699
301,301,Location colocation,1,30,Emploi formel,1,30204,Parents uniquement,1,54377
302,302,Chez un proche,0,0,Aucun,0,0,Autonome,0,88477
303,303,Chez les parents,0,0,Aucun,1,45973,Parents uniquement,1,69437
304,304,Cité universitaire,1,5,Petits boulots,0,0,Emploi rémunéré,1,42563
305,305,Location colocation,0,0,Aucun,0,0,Bourse + parents,0,166770
306,306,Location seul,0,0,Aucun,1,48171,Parents + emploi,0,28821
307,307,Chez les parents,0,0,Aucun,0,0,Bourse + parents,0,63496
308,308,Cité universitaire,1,20,Petits boulots,0,0,Emploi rémunéré,1,75272
309,309,Location colocation,0,0,Aucun,0,0,Bourse + parents,0,94816
310,310,Location colocation,0,0,Aucun,0,0,Autonome,1,55780
311,311,Location colocation,0,0,Aucun,0,0,Emploi rémunéré,0,61794
312,312,Chez les parents,0,0,Aucun,0,0,Emploi rémunéré,1,40090
313,313,Location colocation,0,0,Aucun,0,0,Parents uniquement,1,89457
314,314,Cité universitaire,0,0,Aucun,0,0,Bourse + parents,0,86188
315,315,Chez les parents,0,0,Aucun,0,0,Parents + emploi,0,138009
316,316,Chez les parents,0,0,Aucun,0,0,Emploi rémunéré,0,35724
317,317,Location colocation,0,0,Aucun,0,0,Parents + emploi,1,69657
318,318,Location seul,1,10,Petits boulots,0,0,Bourse + parents,0,45602
319,319,Cité universitaire,0,0,Aucun,0,0,Bourse uniquement,1,27952
320,320,Location colocation,0,0,Aucun,0,0,Parents uniquement,0,31120
321,321,Location seul,0,0,Aucun,1,22088,Parents uniquement,0,131897
322,322,Chez un proche,1,10,Commerce informel,0,0,Bourse uniquement,1,43989
323,323,Chez un proche,0,0,Aucun,1,52917,Bourse uniquement,1,65323
324,324,Chez les parents,0,0,Aucun,0,0,Parents uniquement,0,182589
325,325,Chez les parents,0,0,Aucun,0,0,Parents + emploi,0,65942
326,326,Chez les parents,1,10,Emploi formel,1,58994,Parents uniquement,0,82883
327,327,Cité universitaire,1,20,Commerce informel,0,0,Parents uniquement,1,56551
328,328,Location seul,0,0,Aucun,0,0,Autonome,0,97209
329,329,Chez un proche,1,20,Auto-emploi,0,0,Parents uniquement,0,88963
330,330,Cité universitaire,0,0,Aucun,0,0,Parents uniquement,0,185439
331,331,Location colocation,1,20,Auto-emploi,0,0,Parents + emploi,0,59932
332,332,Location colocation,0,0,Aucun,1,40964,Parents uniquement,0,142273
333,333,Cité universitaire,0,0,Aucun,0,0,Parents + emploi,0,33845
334,334,Location colocation,1,15,Auto-emploi,0,0,Emploi rémunéré,0,31510
335,335,Chez les parents,1,1,Emploi formel,0,0,Emploi rémunéré,1,52545
336,336,Chez un proche,0,0,Aucun,0,0,Bourse + parents,0,68858
337,337,Location colocation,1,10,Emploi formel,0,0,Bourse uniquement,1,58410
338,338,Location colocation,0,0,Aucun,0,0,Parents uniquement,0,98557
339,339,Cité universitaire,1,15,Auto-emploi,1,40041,Parents uniquement,1,40382
340,340,Cité universitaire,0,0,Aucun,0,0,Emploi rémunéré,0,64525
341,341,Location colocation,0,0,Aucun,1,29053,Parents uniquement,1,42701
342,342,Chez les parents,1,30,Emploi formel,0,0,Parents uniquement,0,70906
343,343,Chez les parents,1,10,Petits boulots,1,37676,Parents uniquement,0,98059
344,344,Location colocation,1,5,Emploi formel,0,0,Parents uniquement,1,46171
345,345,Location colocation,0,0,Aucun,0,0,Parents + emploi,1,39029
346,346,Chez les parents,0,0,Aucun,0,0,Parents uniquement,0,166977
347,347,Cité universitaire,0,0,Aucun,1,35383,Bourse + parents,0,65121
348,348,Cité universitaire,0,0,Aucun,0,0,Parents uniquement,0,156288
349,349,Location seul,0,0,Aucun,0,0,Parents uniquement,0,114179
350,350,Location seul,0,0,Aucun,0,0,Parents uniquement,0,196921
351,351,Chez les parents,1,15,Petits boulots,1,23899,Emploi rémunéré,1,37608
352,352,Chez un proche,0,0,Aucun,0,0,Parents uniquement,0,103598
353,353,Location colocation,1,15,Emploi formel,0,0,Parents uniquement,0,105594
354,354,Cité universitaire,0,0,Aucun,1,20336,Parents uniquement,1,107481
355,355,Location colocation,0,0,Aucun,0,0,Bourse uniquement,0,69039
356,356,Location colocation,0,0,Aucun,0,0,Bourse + parents,0,215400
357,357,Cité universitaire,0,0,Aucun,0,0,Parents uniquement,0,58192
358,358,Chez un proche,0,0,Aucun,0,0,Parents uniquement,1,52541
359,359,Cité universitaire,0,0,Aucun,0,0,Emploi rémunéré,0,45920
360,360,Cité universitaire,0,0,Aucun,0,0,Bourse uniquement,0,57569
361,361,Cité universitaire,0,0,Aucun,0,0,Parents + emploi,0,67733
362,362,Chez un proche,0,0,Aucun,0,0,Emploi rémunéré,0,190670
363,363,Location seul,0,0,Aucun,0,0,Parents + emploi,1,38314
364,364,Location colocation,0,0,Aucun,0,0,Parents uniquement,0,51978
365,365,Location colocation,0,0,Aucun,0,0,Bourse + parents,0,53031
366,366,Chez un proche,0,0,Aucun,0,0,Parents + emploi,0,73670
